regional_id,number_of_registered_evs
08111,17.944
08115,15.953
08116,14.856
08117,5.637
08118,13.127
08119,10.025
08121,2.100
08125,9.744
08126,3.949
08127,4.706
08128,2.599
08135,2.151
08136,6.664
08211,1.472
08212,6.419
08215,10.582
08216,5.776
08221,2.485
08222,5.763
08225,2.755
08226,16.950
08231,2.151
08235,5.028
08236,5.061
08237,2.581
08311,4.124
08315,6.229
08316,3.653
08317,9.136
08325,2.974
08326,4.089
08327,2.967
08335,5.991
08336,5.166
08337,4.192
08415,6.326
08416,4.979
08417,3.854
08421,3.020
08425,4.781
08426,5.156
08435,5.336
08436,6.937
08437,2.735
09161,7.535
09162,40.456
09163,1.166
09171,2.715
09172,1.912
09173,2.809
09174,3.443
09175,4.014
09176,3.013
09177,3.229
09178,4.391
09179,4.538
09180,1.628
09181,4.226
09182,2.681
09183,2.778
09184,16.527
09185,1.901
09186,3.310
09187,6.833
09188,4.853
09189,4.637
09190,3.336
09261,1.319
09262,1.160
09263,809
09271,2.774
09272,1.473
09273,2.717
09274,4.606
09275,4.638
09276,1.356
09277,2.822
09278,2.338
09279,2.804
09361,922
09362,3.865
09363,704
09371,2.444
09372,2.792
09373,3.112
09374,2.048
09375,4.979
09376,3.015
09377,1.222
09461,1.439
09462,1.680
09463,907
09464,680
09471,3.157
09472,2.099
09473,1.820
09474,2.731
09475,1.616
09476,1.093
09477,1.505
09478,1.123
09479,1.173
09561,840
09562,2.225
09563,2.122
09564,9.010
09565,889
09571,4.227
09572,4.909
09573,2.808
09574,4.249
09575,2.574
09576,2.988
09577,2.124
09661,2.408
09662,1.065
09663,2.578
09671,4.505
09672,2.294
09673,1.802
09674,1.913
09675,2.367
09676,2.362
09677,2.707
09678,2.894
09679,4.449
09761,4.173
09762,805
09763,1.874
09764,873
09771,3.340
09772,6.161
09773,1.805
09774,2.969
09775,3.632
09776,1.787
09777,3.354
09778,3.241
09779,3.078
09780,3.680
11000,41.988
12051,762
12052,805
12053,435
12054,2.214
12060,2.759
12061,2.865
12062,751
12063,2.816
12064,2.641
12065,3.450
12066,768
12067,2.360
12068,927
12069,4.216
12070,572
12071,914
12072,3.032
12073,991
04011,7.110
04012,1.227
02000,35.572
06411,3.300
06412,16.282
06413,2.471
06414,18.249
06431,6.070
06432,6.811
06433,6.049
06434,6.808
06435,7.696
06436,6.061
06437,1.802
06438,6.704
06439,4.546
06440,6.535
06531,5.250
06532,4.901
06533,3.954
06534,4.444
06535,1.960
06611,3.495
06631,5.080
06632,2.198
06633,5.986
06634,4.156
06635,3.388
06636,1.750
13003,1.821
13004,953
13071,1.914
13072,2.536
13073,1.958
13074,1.829
13075,1.721
13076,1.888
03101,7.363
03102,1.275
03103,11.209
03151,4.193
03153,2.196
03154,1.871
03155,2.731
03157,3.225
03158,2.790
03159,6.018
03241,22.399
03251,5.056
03252,2.928
03254,5.314
03255,1.093
03256,2.299
03257,3.424
03351,3.415
03352,3.164
03353,6.132
03354,879
03355,3.996
03356,2.501
03357,3.869
03358,2.574
03359,4.208
03360,1.916
03361,2.969
03401,973
03402,752
03403,4.362
03404,3.764
03405,750
03451,2.801
03452,3.392
03453,3.779
03454,8.642
03455,2.051
03456,3.547
03457,2.911
03458,3.005
03459,8.684
03460,4.067
03461,1.463
03462,824
05111,15.765
05112,5.197
05113,10.066
05114,3.507
05116,4.232
05117,2.958
05119,2.714
05120,1.974
05122,3.194
05124,5.451
05154,5.994
05158,11.723
05162,9.502
05166,6.292
05170,9.530
05314,9.215
05315,20.297
05316,3.090
05334,10.786
05358,5.476
05362,9.102
05366,8.515
05370,5.106
05374,5.980
05378,6.924
05382,12.297
05512,1.882
05513,2.825
05515,7.122
05554,10.357
05558,5.737
05562,9.219
05566,11.259
05570,6.231
05711,8.592
05754,9.306
05758,6.303
05762,3.104
05766,7.732
05770,7.719
05774,8.456
05911,6.987
05913,10.088
05914,2.332
05915,2.821
05916,1.524
05954,6.231
05958,5.579
05962,6.638
05966,2.931
05970,5.286
05974,7.540
05978,7.621
07111,2.679
07131,2.405
07132,2.589
07133,3.128
07134,1.049
07135,1.281
07137,4.502
07138,3.571
07140,2.296
07141,2.528
07143,5.000
07211,5.465
07231,2.157
07232,2.184
07233,1.144
07311,612
07312,1.712
07313,1.020
07314,2.681
07315,3.837
07316,1.223
07317,565
07318,888
07319,1.222
07320,664
07331,2.981
07332,3.278
07333,1.523
07334,2.806
07335,2.105
07336,1.016
07337,2.746
07338,3.373
07339,5.405
07340,1.744
10041,5.108
10042,1.797
10043,2.106
10044,3.526
10045,2.855
10046,1.679
14511,2.707
14521,2.826
14522,2.518
14523,1.967
14524,3.399
14612,5.314
14625,2.603
14626,1.472
14627,2.237
14628,2.376
14713,6.098
14729,3.166
14730,1.888
15001,750
15002,1.758
15003,2.425
15081,817
15082,1.275
15083,1.823
15084,1.422
15085,2.063
15086,921
15087,1.028
15088,1.821
15089,1.320
15090,943
15091,977
01001,1.728
01002,3.622
01003,3.043
01004,1.516
01051,2.368
01053,4.145
01054,4.779
01055,3.866
01056,6.147
01057,2.921
01058,6.804
01059,4.818
01060,6.096
01061,2.641
01062,6.045
16051,2.702
16052,773
16053,1.172
16054,360
16055,865
16061,1.598
16062,726
16063,1.542
16064,1.082
16065,532
16066,1.192
16067,1.437
16068,658
16069,606
16070,1.259
16071,968
16072,474
16073,947
16074,932
16075,611
16076,838
16077,647
