regional_id,number_of_registered_evs
08111,14.955
08115,13.873
08116,13.845
08117,4.874
08118,11.035
08119,8.785
08121,1.799
08125,8.115
08126,3.104
08127,4.006
08128,2.182
08135,1.899
08136,5.666
08211,1.316
08212,5.484
08215,9.003
08216,4.922
08221,2.060
08222,4.814
08225,2.454
08226,13.313
08231,1.868
08235,4.462
08236,4.429
08237,2.222
08311,3.285
08315,5.454
08316,3.100
08317,8.183
08325,2.590
08326,3.593
08327,2.653
08335,5.409
08336,4.542
08337,3.649
08415,5.328
08416,4.159
08417,3.346
08421,2.509
08425,4.162
08426,4.346
08435,4.517
08436,5.936
08437,2.310
09161,6.050
09162,34.377
09163,999
09171,2.236
09172,1.690
09173,2.345
09174,2.869
09175,3.282
09176,2.598
09177,2.742
09178,3.655
09179,3.888
09180,1.403
09181,3.687
09182,2.209
09183,2.310
09184,14.370
09185,1.617
09186,2.802
09187,5.802
09188,4.013
09189,3.885
09190,2.884
09261,1.256
09262,989
09263,740
09271,2.321
09272,1.224
09273,2.348
09274,3.861
09275,3.976
09276,1.181
09277,2.293
09278,1.956
09279,2.168
09361,816
09362,3.002
09363,648
09371,2.170
09372,2.394
09373,2.637
09374,1.639
09375,4.101
09376,2.410
09377,1.003
09461,1.290
09462,1.499
09463,805
09464,1.266
09471,2.674
09472,1.754
09473,1.620
09474,2.276
09475,1.342
09476,956
09477,1.263
09478,950
09479,1.010
09561,762
09562,1.805
09563,1.717
09564,7.482
09565,815
09571,3.501
09572,3.968
09573,2.334
09574,3.525
09575,2.202
09576,2.428
09577,1.827
09661,2.241
09662,866
09663,2.199
09671,3.820
09672,1.944
09673,1.594
09674,1.666
09675,1.958
09676,2.099
09677,2.296
09678,2.369
09679,3.754
09761,3.466
09762,642
09763,1.503
09764,767
09771,2.862
09772,5.227
09773,1.523
09774,2.427
09775,3.009
09776,1.519
09777,2.943
09778,2.672
09779,2.587
09780,3.078
11000,35.815
12051,737
12052,652
12053,336
12054,1.890
12060,2.353
12061,2.328
12062,635
12063,2.345
12064,2.158
12065,2.800
12066,621
12067,1.869
12068,785
12069,3.474
12070,496
12071,765
12072,2.436
12073,850
04011,6.016
04012,1.032
02000,30.086
06411,2.743
06412,12.719
06413,1.586
06414,27.641
06431,5.044
06432,5.628
06433,4.041
06434,5.754
06435,6.427
06436,5.179
06437,1.506
06438,5.469
06439,3.882
06440,5.559
06531,4.410
06532,4.078
06533,3.300
06534,3.840
06535,1.678
06611,3.164
06631,4.411
06632,1.765
06633,5.143
06634,3.495
06635,2.873
06636,1.479
13003,1.631
13004,771
13071,1.581
13072,2.097
13073,1.720
13074,1.510
13075,1.403
13076,1.495
03101,8.051
03102,968
03103,11.756
03151,3.604
03153,1.855
03154,1.555
03155,2.503
03157,2.669
03158,2.318
03159,5.121
03241,18.201
03251,4.200
03252,2.404
03254,4.326
03255,873
03256,2.028
03257,2.925
03351,2.861
03352,2.599
03353,5.051
03354,740
03355,3.608
03356,2.105
03357,3.473
03358,2.079
03359,3.498
03360,1.604
03361,2.416
03401,835
03402,720
03403,3.463
03404,3.161
03405,634
03451,2.365
03452,2.995
03453,3.146
03454,7.068
03455,1.722
03456,2.975
03457,2.501
03458,2.511
03459,7.262
03460,3.473
03461,1.203
03462,709
05111,11.665
05112,4.312
05113,7.940
05114,2.945
05116,3.563
05117,2.442
05119,2.338
05120,1.621
05122,2.914
05124,4.672
05154,5.010
05158,9.927
05162,7.814
05166,5.244
05170,8.097
05314,6.365
05315,14.540
05316,2.561
05334,9.562
05358,5.035
05362,7.549
05366,8.248
05370,4.434
05374,5.027
05378,6.249
05382,9.995
05512,1.588
05513,2.365
05515,5.998
05554,8.738
05558,4.896
05562,7.804
05566,9.792
05570,5.408
05711,7.219
05754,7.797
05758,5.550
05762,2.674
05766,6.510
05770,6.407
05774,7.343
05911,6.326
05913,7.922
05914,1.972
05915,2.452
05916,1.249
05954,5.264
05958,4.954
05962,5.771
05966,2.508
05970,4.679
05974,6.395
05978,6.451
07111,1.980
07131,1.976
07132,2.226
07133,2.572
07134,930
07135,1.129
07137,3.705
07138,2.994
07140,1.931
07141,2.112
07143,4.225
07211,4.934
07231,1.894
07232,1.826
07233,958
07311,496
07312,1.571
07313,911
07314,2.098
07315,3.048
07316,1.064
07317,524
07318,786
07319,1.029
07320,560
07331,2.470
07332,2.780
07333,1.382
07334,2.300
07335,1.764
07336,857
07337,2.305
07338,2.750
07339,4.500
07340,1.530
10041,4.369
10042,1.542
10043,1.799
10044,3.007
10045,2.478
10046,1.503
14511,2.536
14521,2.389
14522,2.146
14523,1.742
14524,2.971
14612,4.390
14625,2.305
14626,1.320
14627,1.888
14628,2.059
14713,5.199
14729,2.692
14730,1.588
15001,713
15002,1.570
15003,1.979
15081,692
15082,1.040
15083,1.488
15084,1.174
15085,1.870
15086,765
15087,900
15088,1.458
15089,1.099
15090,779
15091,875
01001,1.420
01002,3.139
01003,2.538
01004,1.350
01051,2.060
01053,3.401
01054,4.256
01055,3.347
01056,5.209
01057,2.516
01058,5.852
01059,4.160
01060,5.085
01061,2.202
01062,5.119
16051,2.223
16052,702
16053,994
16054,334
16055,736
16061,1.408
16062,658
16063,1.407
16064,920
16065,472
16066,1.048
16067,1.221
16068,548
16069,519
16070,1.106
16071,818
16072,414
16073,805
16074,753
16075,542
16076,717
16077,543
