regional_id,number_of_registered_evs
08111,2.712
08115,1.930
08116,1.319
08117,471
08118,1.323
08119,973
08121,219
08125,772
08126,260
08127,410
08128,180
08135,193
08136,559
08211,144
08212,737
08215,920
08216,394
08221,290
08222,436
08225,182
08226,1.215
08231,189
08235,458
08236,440
08237,209
08311,461
08315,653
08316,332
08317,714
08325,198
08326,304
08327,231
08335,539
08336,556
08337,384
08415,562
08416,414
08417,318
08421,288
08425,323
08426,368
08435,493
08436,619
08437,171
09161,928
09162,5.695
09163,115
09171,222
09172,168
09173,279
09174,311
09175,399
09176,231
09177,312
09178,629
09179,438
09180,137
09181,456
09182,266
09183,232
09184,1.579
09185,144
09186,320
09187,720
09188,585
09189,457
09190,306
09261,128
09262,95
09263,60
09271,173
09272,75
09273,233
09274,346
09275,310
09276,156
09277,213
09278,146
09279,266
09361,108
09362,446
09363,50
09371,192
09372,182
09373,252
09374,122
09375,379
09376,184
09377,76
09461,208
09462,131
09463,84
09464,69
09471,258
09472,140
09473,148
09474,284
09475,104
09476,78
09477,107
09478,94
09479,85
09561,99
09562,221
09563,208
09564,798
09565,118
09571,311
09572,384
09573,244
09574,379
09575,250
09576,258
09577,211
09661,120
09662,82
09663,267
09671,356
09672,248
09673,397
09674,159
09675,198
09676,161
09677,201
09678,291
09679,397
09761,373
09762,67
09763,134
09764,68
09771,250
09772,470
09773,138
09774,174
09775,284
09776,191
09777,307
09778,243
09779,256
09780,347
11000,4.886
12051,53
12052,60
12053,35
12054,256
12060,201
12061,208
12062,89
12063,187
12064,162
12065,252
12066,45
12067,140
12068,76
12069,340
12070,43
12071,96
12072,187
12073,91
04011,650
04012,102
02000,3.395
06411,398
06412,1.291
06413,171
06414,570
06431,537
06432,568
06433,620
06434,753
06435,549
06436,503
06437,150
06438,483
06439,425
06440,459
06531,448
06532,316
06533,286
06534,372
06535,114
06611,288
06631,292
06632,145
06633,367
06634,265
06635,216
06636,84
13003,140
13004,69
13071,129
13072,168
13073,154
13074,121
13075,117
13076,105
03101,798
03102,73
03103,2.054
03151,176
03153,112
03154,140
03155,157
03157,168
03158,163
03159,386
03241,1.534
03251,297
03252,198
03254,336
03255,63
03256,240
03257,220
03351,202
03352,202
03353,432
03354,51
03355,315
03356,201
03357,206
03358,144
03359,296
03360,105
03361,161
03401,70
03402,36
03403,264
03404,303
03405,42
03451,153
03452,241
03453,136
03454,288
03455,124
03456,364
03457,173
03458,176
03459,418
03460,142
03461,89
03462,42
05111,1.144
05112,278
05113,698
05114,217
05116,322
05117,270
05119,135
05120,130
05122,263
05124,536
05154,336
05158,807
05162,741
05166,449
05170,537
05314,490
05315,1.547
05316,186
05334,988
05358,374
05362,569
05366,337
05370,309
05374,384
05378,578
05382,936
05512,115
05513,214
05515,748
05554,502
05558,357
05562,578
05566,618
05570,364
05711,1.051
05754,646
05758,419
05762,178
05766,523
05770,490
05774,634
05911,577
05913,746
05914,222
05915,182
05916,109
05954,493
05958,300
05962,392
05966,182
05970,311
05974,556
05978,579
07111,135
07131,152
07132,140
07133,220
07134,73
07135,64
07137,269
07138,242
07140,138
07141,137
07143,254
07211,181
07231,127
07232,120
07233,54
07235,181
07311,52
07312,138
07313,85
07314,386
07315,381
07316,95
07317,46
07318,68
07319,105
07320,40
07331,210
07332,240
07333,98
07334,137
07335,126
07336,50
07337,180
07338,212
07339,470
07340,76
10041,384
10042,101
10043,126
10044,201
10045,207
10046,85
14511,238
14521,167
14522,179
14523,142
14524,267
14612,629
14625,207
14626,139
14627,185
14628,191
14713,743
14729,250
14730,101
15001,68
15002,97
15003,265
15081,57
15082,83
15083,125
15084,105
15085,102
15086,55
15087,71
15088,121
15089,60
15090,55
15091,68
01001,144
01002,352
01003,310
01004,71
01051,242
01053,320
01054,554
01055,269
01056,479
01057,210
01058,466
01059,350
01060,505
01061,169
01062,486
16051,260
16052,47
16053,102
16054,15
16055,1.552
16061,63
16062,71
16063,126
16064,69
16065,33
16066,102
16067,195
16068,43
16069,30
16070,171
16071,74
16072,42
16073,58
16074,59
16075,48
16076,47
16077,56
