regional_id,number_of_registered_evs
08111,5.033
08115,3.648
08116,2.871
08117,1.075
08118,2.826
08119,2.084
08121,423
08125,1.878
08126,506
08127,837
08128,425
08135,442
08136,1.150
08211,356
08212,1.412
08215,2.086
08216,1.104
08221,475
08222,968
08225,538
08226,2.599
08231,438
08235,1.032
08236,994
08237,472
08311,912
08315,1.341
08316,1.235
08317,1.930
08325,485
08326,833
08327,543
08335,1.310
08336,1.129
08337,833
08415,1.209
08416,954
08417,708
08421,554
08425,777
08426,907
08435,1.074
08436,1.402
08437,442
09161,2.047
09162,8.271
09163,250
09171,439
09172,438
09173,562
09174,666
09175,794
09176,474
09177,587
09178,1.108
09179,912
09180,322
09181,959
09182,478
09183,478
09184,2.934
09185,369
09186,655
09187,1.384
09188,1.071
09189,881
09190,653
09261,242
09262,195
09263,143
09271,417
09272,194
09273,483
09274,742
09275,741
09276,272
09277,435
09278,340
09279,435
09361,222
09362,726
09363,123
09371,414
09372,393
09373,565
09374,302
09375,782
09376,443
09377,178
09461,352
09462,346
09463,190
09464,185
09471,604
09472,352
09473,328
09474,547
09475,283
09476,186
09477,253
09478,221
09479,210
09561,172
09562,465
09563,428
09564,1.562
09565,214
09571,683
09572,741
09573,487
09574,737
09575,495
09576,508
09577,445
09661,334
09662,191
09663,568
09671,777
09672,407
09673,721
09674,345
09675,390
09676,370
09677,450
09678,522
09679,897
09761,797
09762,157
09763,305
09764,166
09771,543
09772,989
09773,317
09774,417
09775,627
09776,363
09777,641
09778,504
09779,535
09780,703
11000,9.085
12051,158
12052,170
12053,85
12054,479
12060,506
12061,460
12062,182
12063,472
12064,415
12065,621
12066,108
12067,367
12068,164
12069,721
12070,116
12071,182
12072,446
12073,183
04011,1.297
04012,212
02000,7.035
06411,708
06412,2.304
06413,415
06414,2.276
06431,1.124
06432,1.233
06433,1.118
06434,1.545
06435,1.238
06436,1.012
06437,334
06438,1.103
06439,934
06440,1.129
06531,975
06532,711
06533,677
06534,819
06535,308
06611,656
06631,785
06632,325
06633,984
06634,703
06635,616
06636,268
13003,296
13004,154
13071,296
13072,405
13073,368
13074,284
13075,595
13076,273
03101,2.725
03102,182
03103,9.495
03151,642
03153,305
03154,358
03155,410
03157,448
03158,462
03159,973
03241,3.616
03251,690
03252,504
03254,811
03255,165
03256,469
03257,599
03351,466
03352,422
03353,1.182
03354,135
03355,710
03356,456
03357,541
03358,370
03359,679
03360,255
03361,419
03401,167
03402,130
03403,569
03404,642
03405,118
03451,419
03452,582
03453,403
03454,902
03455,301
03456,778
03457,459
03458,460
03459,1.154
03460,447
03461,211
03462,115
05111,2.435
05112,727
05113,1.659
05114,677
05116,730
05117,559
05119,404
05120,304
05122,743
05124,1.044
05154,929
05158,1.995
05162,1.603
05166,1.199
05170,1.601
05314,1.099
05315,3.204
05316,781
05334,2.145
05358,1.106
05362,1.347
05366,770
05370,815
05374,901
05378,1.330
05382,2.181
05512,337
05513,464
05515,1.599
05554,1.465
05558,897
05562,1.569
05566,1.772
05570,1.141
05711,2.052
05754,1.535
05758,1.055
05762,487
05766,1.463
05770,1.244
05774,1.619
05911,1.318
05913,1.773
05914,449
05915,537
05916,268
05954,1.142
05958,954
05962,1.110
05966,441
05970,930
05974,1.435
05978,1.393
07111,364
07131,388
07132,330
07133,507
07134,179
07135,192
07137,711
07138,568
07140,365
07141,398
07143,652
07211,459
07231,365
07232,340
07233,194
07235,459
07311,109
07312,359
07313,200
07314,517
07315,721
07316,203
07317,116
07318,174
07319,232
07320,102
07331,508
07332,582
07333,242
07334,373
07335,319
07336,152
07337,463
07338,504
07339,963
07340,254
10041,875
10042,286
10043,359
10044,681
10045,483
10046,257
14511,584
14521,459
14522,445
14523,382
14524,900
14612,1.189
14625,486
14626,286
14627,443
14628,497
14713,1.359
14729,632
14730,316
15001,128
15002,366
15003,473
15081,136
15082,205
15083,309
15084,261
15085,387
15086,125
15087,192
15088,279
15089,192
15090,168
15091,155
01001,321
01002,782
01003,608
01004,408
01051,504
01053,795
01054,1.118
01055,670
01056,1.327
01057,550
01058,1.171
01059,869
01060,1.239
01061,437
01062,1.212
16051,532
16052,142
16053,256
16054,54
16055,1.685
16061,203
16062,145
16063,333
16064,199
16065,113
16066,244
16067,233
16068,90
16069,93
16070,323
16071,165
16072,85
16073,148
16074,144
16075,123
16076,138
16077,110
