regional_id,number_of_registered_evs
08111,11.267
08115,9.781
08116,10.220
08117,3.570
08118,7.853
08119,6.320
08121,1.249
08125,5.288
08126,1.820
08127,2.895
08128,1.566
08135,1.417
08136,3.987
08211,970
08212,3.982
08215,6.566
08216,3.610
08221,1.421
08222,3.101
08225,1.818
08226,9.098
08231,1.365
08235,3.367
08236,3.309
08237,1.517
08311,2.464
08315,4.078
08316,2.359
08317,6.196
08325,1.935
08326,2.637
08327,2.013
08335,4.175
08336,3.341
08337,2.626
08415,3.793
08416,2.949
08417,2.368
08421,1.768
08425,2.957
08426,3.189
08435,3.215
08436,4.288
08437,1.675
09161,4.086
09162,24.939
09163,736
09171,1.558
09172,1.339
09173,1.652
09174,2.091
09175,2.356
09176,1.807
09177,2.055
09178,2.635
09179,2.750
09180,1.019
09181,2.795
09182,1.621
09183,1.632
09184,9.290
09185,1.164
09186,1.999
09187,4.243
09188,2.933
09189,2.778
09190,2.102
09261,773
09262,684
09263,584
09271,1.585
09272,846
09273,1.769
09274,2.627
09275,2.807
09276,855
09277,1.613
09278,1.395
09279,1.529
09361,582
09362,2.091
09363,456
09371,1.769
09372,1.713
09373,2.000
09374,1.172
09375,2.930
09376,1.696
09377,727
09461,979
09462,1.362
09463,586
09464,474
09471,1.926
09472,1.274
09473,1.145
09474,1.634
09475,1.018
09476,695
09477,884
09478,697
09479,749
09561,509
09562,1.276
09563,1.271
09564,4.760
09565,659
09571,2.517
09572,2.645
09573,1.667
09574,2.490
09575,1.600
09576,1.783
09577,1.428
09661,1.066
09662,612
09663,1.617
09671,2.698
09672,1.465
09673,2.172
09674,1.257
09675,1.396
09676,1.386
09677,1.688
09678,1.749
09679,2.734
09761,2.365
09762,487
09763,963
09764,520
09771,2.014
09772,3.673
09773,1.155
09774,1.659
09775,2.045
09776,1.170
09777,2.151
09778,1.841
09779,1.809
09780,2.149
11000,24.934
12051,514
12052,468
12053,232
12054,1.388
12060,1.733
12061,1.638
12062,461
12063,1.792
12064,1.543
12065,2.122
12066,425
12067,1.283
12068,545
12069,2.584
12070,385
12071,541
12072,1.692
12073,605
04011,4.268
04012,770
02000,20.585
06411,1.887
06412,13.290
06413,1.130
06414,16.705
06431,3.612
06432,4.199
06433,2.703
06434,3.946
06435,4.572
06436,3.295
06437,1.093
06438,3.877
06439,2.817
06440,3.891
06531,3.236
06532,2.949
06533,2.455
06534,2.744
06535,1.198
06611,2.169
06631,3.314
06632,1.226
06633,3.903
06634,2.656
06635,2.157
06636,1.088
13003,1.139
13004,513
13071,1.088
13072,1.510
13073,1.266
13074,1.092
13075,1.143
13076,1.055
03101,7.377
03102,753
03103,4.766
03151,2.864
03153,1.293
03154,1.272
03155,1.723
03157,1.900
03158,1.701
03159,3.754
03241,12.734
03251,2.971
03252,1.726
03254,3.117
03255,690
03256,1.511
03257,2.154
03351,1.996
03352,1.868
03353,3.606
03354,543
03355,2.404
03356,1.465
03357,2.360
03358,1.499
03359,2.445
03360,1.240
03361,1.693
03401,546
03402,600
03403,2.271
03404,2.278
03405,472
03451,1.692
03452,2.289
03453,2.106
03454,5.001
03455,1.308
03456,2.283
03457,1.958
03458,1.770
03459,5.092
03460,2.313
03461,848
03462,517
05111,7.535
05112,3.032
05113,5.315
05114,2.083
05116,2.452
05117,1.764
05119,1.830
05120,1.169
05122,2.765
05124,3.503
05154,3.748
05158,7.038
05162,5.546
05166,3.987
05170,6.130
05314,4.168
05315,9.863
05316,1.812
05334,6.804
05358,3.849
05362,5.376
05366,7.042
05370,3.044
05374,3.482
05378,4.433
05382,7.229
05512,1.142
05513,1.694
05515,4.304
05554,6.221
05558,3.609
05562,5.633
05566,7.338
05570,4.070
05711,5.174
05754,5.897
05758,4.263
05762,2.003
05766,5.016
05770,4.418
05774,5.500
05911,4.479
05913,5.482
05914,1.471
05915,1.843
05916,913
05954,3.826
05958,3.626
05962,4.113
05966,1.754
05970,3.604
05974,4.876
05978,4.785
07111,1.210
07131,1.401
07132,1.515
07133,1.874
07134,672
07135,863
07137,2.677
07138,2.160
07140,1.383
07141,1.525
07143,3.035
07211,2.002
07231,1.407
07232,1.311
07233,683
07235,2.002
07311,347
07312,1.090
07313,717
07314,1.453
07315,2.166
07316,787
07317,378
07318,518
07319,753
07320,417
07331,1.825
07332,2.047
07333,1.070
07334,1.536
07335,1.229
07336,608
07337,1.686
07338,1.894
07339,3.222
07340,1.122
10041,3.203
10042,1.198
10043,1.385
10044,2.183
10045,1.835
10046,1.820
14511,1.709
14521,1.778
14522,1.605
14523,1.307
14524,2.294
14612,3.009
14625,1.579
14626,1.039
14627,1.358
14628,1.502
14713,3.603
14729,1.894
14730,1.123
15001,449
15002,1.179
15003,1.392
15081,531
15082,729
15083,1.054
15084,861
15085,1.455
15086,542
15087,706
15088,1.065
15089,794
15090,568
15091,630
01001,1.072
01002,2.403
01003,1.799
01004,1.053
01051,1.606
01053,2.489
01054,3.363
01055,2.533
01056,3.921
01057,1.942
01058,4.351
01059,3.424
01060,3.833
01061,1.592
01062,3.652
16051,1.554
16052,533
16053,728
16054,254
16055,498
16061,955
16062,427
16063,1.008
16064,694
16065,379
16066,783
16067,855
16068,389
16069,376
16070,877
16071,594
16072,313
16073,588
16074,575
16075,387
16076,541
16077,408
