year,total_stock
2025,3833333.3333333335
2026,6066666.666666667
2027,8300000.0
2028,10533333.333333334
2029,12766666.666666666
2030,15000000.0
2031,17266666.666666668
2032,19533333.333333332
2033,21800000.0
2034,24066666.666666664
2035,26333333.333333336
2036,28600000.0
2037,30866666.666666664
2038,33133333.333333332
2039,35400000.0
2040,37666666.66666667
2041,39933333.33333333
2042,42200000.0
2043,44466666.66666667
2044,46733333.33333333
2045,49000000.0
