,cts,industry
2022-05-01 00:00:00,30558.8297569307,84395.15611586258
2022-05-01 02:00:00,31525.192888687103,84395.15611586258
2022-05-01 04:00:00,38896.180311609496,84395.15611586258
2022-05-01 06:00:00,37440.43593933991,84395.15611586258
2022-05-01 08:00:00,36485.356746323916,84395.15611586258
2022-05-01 10:00:00,36993.375766405916,84395.15611586258
2022-05-01 12:00:00,35259.52568468971,84395.15611586258
2022-05-01 14:00:00,32425.842304398695,84395.15611586258
2022-05-01 16:00:00,32261.8236271098,84395.15611586258
2022-05-01 18:00:00,32868.57023958879,84395.15611586258
2022-05-01 20:00:00,34075.5761038855,84395.15611586258
2022-05-01 22:00:00,31373.5582800762,84395.15611586258
2022-05-02 00:00:00,45195.4674204911,84853.86799349179
2022-05-02 02:00:00,42898.3310080737,84853.86799349179
2022-05-02 04:00:00,46956.9080269056,84853.86799349179
2022-05-02 06:00:00,58322.10813477022,85496.55731897059
2022-05-02 08:00:00,57218.6075594159,85513.59348776958
2022-05-02 10:00:00,52216.1888103769,85513.59348776958
2022-05-02 12:00:00,43678.48461236971,85513.59348776958
2022-05-02 14:00:00,44531.01388784311,85513.59348776958
2022-05-02 16:00:00,41411.70211197281,85505.07540337008
2022-05-02 18:00:00,42905.769403168,85496.55731897059
2022-05-02 20:00:00,46705.79486446111,85496.55731897059
2022-05-02 22:00:00,43276.2850149668,85175.21265623119
2022-05-03 00:00:00,55611.49430016721,84853.86799349179
2022-05-03 02:00:00,54618.696390709505,84853.86799349179
2022-05-03 04:00:00,61875.403895602896,84853.86799349179
2022-05-03 06:00:00,81660.11710585207,85496.55731897059
2022-05-03 08:00:00,86962.58340796427,85513.59348776958
2022-05-03 10:00:00,77083.924101301,85513.59348776958
2022-05-03 12:00:00,68574.02135556581,85513.59348776958
2022-05-03 14:00:00,63242.99525595737,85513.59348776958
2022-05-03 16:00:00,60503.358489134494,85505.07540337008
2022-05-03 18:00:00,56887.3565269668,85496.55731897059
2022-05-03 20:00:00,57713.96548297109,85496.55731897059
2022-05-03 22:00:00,50730.70714412212,85175.21265623119
2022-05-04 00:00:00,64891.05393400531,84853.86799349179
2022-05-04 02:00:00,65760.3751333018,84853.86799349179
2022-05-04 04:00:00,73526.37684374198,84853.86799349179
2022-05-04 06:00:00,98016.8350627559,85496.55731897059
2022-05-04 08:00:00,102281.60424103012,85513.59348776958
2022-05-04 10:00:00,90197.21515599199,85513.59348776958
2022-05-04 12:00:00,81663.3065268012,85513.59348776958
2022-05-04 14:00:00,76508.4173554267,85513.59348776958
2022-05-04 16:00:00,74107.869626464,85505.07540337008
2022-05-04 18:00:00,69483.29485611917,85496.55731897059
2022-05-04 20:00:00,70764.7498937463,85496.55731897059
2022-05-04 22:00:00,60548.981015902,85175.21265623119
2022-05-05 00:00:00,73565.8262875732,84853.86799349179
2022-05-05 02:00:00,74982.1275330644,84853.86799349179
2022-05-05 04:00:00,83284.7776954794,84853.86799349179
2022-05-05 06:00:00,111053.83793456422,85496.55731897059
2022-05-05 08:00:00,115875.76863632741,85513.59348776958
2022-05-05 10:00:00,101805.52149094275,85513.59348776958
2022-05-05 12:00:00,92731.3644853592,85513.59348776958
2022-05-05 14:00:00,87201.7993086504,85513.59348776958
2022-05-05 16:00:00,84551.4373090718,85505.07540337008
2022-05-05 18:00:00,78943.10874135289,85496.55731897059
2022-05-05 20:00:00,80589.66994632452,85496.55731897059
2022-05-05 22:00:00,68896.16481435031,85175.21265623119
2022-05-06 00:00:00,80406.84990224049,84853.86799349179
2022-05-06 02:00:00,81342.15724355301,84853.86799349179
2022-05-06 04:00:00,89526.89155224466,84853.86799349179
2022-05-06 06:00:00,120857.94158426407,85496.55731897059
2022-05-06 08:00:00,127731.08595757833,85513.59348776958
2022-05-06 10:00:00,111801.78679235313,85513.59348776958
2022-05-06 12:00:00,101024.1266853787,85513.59348776958
2022-05-06 14:00:00,95752.54861732051,85513.59348776958
2022-05-06 16:00:00,92245.2296195486,85505.07540337008
2022-05-06 18:00:00,86570.45581790851,85496.55731897059
2022-05-06 20:00:00,87935.62638148664,85496.55731897059
2022-05-06 22:00:00,75757.2978257922,85175.21265623119
2022-05-07 00:00:00,73407.0083199324,84454.43646125999
2022-05-07 02:00:00,75092.11631863088,84454.43646125999
2022-05-07 04:00:00,85526.58432486911,84454.43646125999
2022-05-07 06:00:00,121721.0646443735,84704.2715619388
2022-05-07 08:00:00,115588.26937066548,84721.3077307378
2022-05-07 10:00:00,105683.57339372828,84721.3077307378
2022-05-07 12:00:00,86902.49020257882,84721.3077307378
2022-05-07 14:00:00,74579.548132139,84721.3077307378
2022-05-07 16:00:00,80781.75751216161,84712.7896463383
2022-05-07 18:00:00,82286.92634675643,84704.2715619388
2022-05-07 20:00:00,82509.26431920563,84704.2715619388
2022-05-07 22:00:00,75368.15103778848,84579.3540115994
2022-05-08 00:00:00,82411.23176951238,84395.15611586258
2022-05-08 02:00:00,70271.37867479949,84395.15611586258
2022-05-08 04:00:00,84482.42432829281,84395.15611586258
2022-05-08 06:00:00,92799.42638813425,84395.15611586258
2022-05-08 08:00:00,81798.8588126594,84395.15611586258
2022-05-08 10:00:00,80109.43295749139,84395.15611586258
2022-05-08 12:00:00,71220.78913268569,84395.15611586258
2022-05-08 14:00:00,70800.5446302997,84395.15611586258
2022-05-08 16:00:00,78004.22359629543,84395.15611586258
2022-05-08 18:00:00,76207.59822408977,84395.15611586258
2022-05-08 20:00:00,75503.45443882133,84395.15611586258
2022-05-08 22:00:00,78383.444010451,84395.15611586258
2022-05-09 00:00:00,63769.34325541281,84853.86799349179
2022-05-09 02:00:00,65328.85861166804,84853.86799349179
2022-05-09 04:00:00,70801.8083871468,84853.86799349179
2022-05-09 06:00:00,89044.46143332578,85496.55731897059
2022-05-09 08:00:00,86586.34957483641,85513.59348776958
2022-05-09 10:00:00,78402.99118390976,85513.59348776958
2022-05-09 12:00:00,69320.00728101088,85513.59348776958
2022-05-09 14:00:00,65529.235072464806,85513.59348776958
2022-05-09 16:00:00,67664.77118497301,85505.07540337008
2022-05-09 18:00:00,69932.7562143487,85496.55731897059
2022-05-09 20:00:00,73156.03363807127,85496.55731897059
2022-05-09 22:00:00,63638.2320070354,85175.21265623119
2022-05-10 00:00:00,61782.62386647041,84853.86799349179
2022-05-10 02:00:00,61127.1389279424,84853.86799349179
2022-05-10 04:00:00,68855.4957090304,84853.86799349179
2022-05-10 06:00:00,91398.9218926845,85496.55731897059
2022-05-10 08:00:00,96985.3436084054,85513.59348776958
2022-05-10 10:00:00,85676.86018555364,85513.59348776958
2022-05-10 12:00:00,76941.15853306977,85513.59348776958
2022-05-10 14:00:00,71183.62534102729,85513.59348776958
2022-05-10 16:00:00,68343.43988085091,85505.07540337008
2022-05-10 18:00:00,64231.09621824462,85496.55731897059
2022-05-10 20:00:00,65224.49794015581,85496.55731897059
2022-05-10 22:00:00,56911.44723527641,85175.21265623119
2022-05-11 00:00:00,59769.2096303215,84853.86799349179
2022-05-11 02:00:00,59541.13611661301,84853.86799349179
2022-05-11 04:00:00,66952.42166643462,84853.86799349179
2022-05-11 06:00:00,88796.43887489628,85496.55731897059
2022-05-11 08:00:00,93487.82084670229,85513.59348776958
2022-05-11 10:00:00,82754.10539218839,85513.59348776958
2022-05-11 12:00:00,74517.3262763492,85513.59348776958
2022-05-11 14:00:00,69165.57872446829,85513.59348776958
2022-05-11 16:00:00,66711.3446279327,85505.07540337008
2022-05-11 18:00:00,62815.856660145284,85496.55731897059
2022-05-11 20:00:00,63819.638923905906,85496.55731897059
2022-05-11 22:00:00,55418.403710707105,85175.21265623119
2022-05-12 00:00:00,62809.55423883229,84853.86799349179
2022-05-12 02:00:00,62790.93393838659,84853.86799349179
2022-05-12 04:00:00,70703.6600782419,84853.86799349179
2022-05-12 06:00:00,93658.6568036296,85496.55731897059
2022-05-12 08:00:00,98460.32773913699,85513.59348776958
2022-05-12 10:00:00,87046.71135652953,85513.59348776958
2022-05-12 12:00:00,77898.29484345898,85513.59348776958
2022-05-12 14:00:00,72515.0359974115,85513.59348776958
2022-05-12 16:00:00,69874.0856824042,85505.07540337008
2022-05-12 18:00:00,65578.56074569971,85496.55731897059
2022-05-12 20:00:00,66678.55745251861,85496.55731897059
2022-05-12 22:00:00,57796.80717197709,85175.21265623119
2022-05-13 00:00:00,67834.8627622486,84853.86799349179
2022-05-13 02:00:00,68257.8066122523,84853.86799349179
2022-05-13 04:00:00,75411.91281109944,84853.86799349179
2022-05-13 06:00:00,101907.36432231648,85496.55731897059
2022-05-13 08:00:00,108034.66083012763,85513.59348776958
2022-05-13 10:00:00,94698.85044361808,85513.59348776958
2022-05-13 12:00:00,85529.11566992622,85513.59348776958
2022-05-13 14:00:00,80594.56789000303,85513.59348776958
2022-05-13 16:00:00,77459.00998509179,85505.07540337008
2022-05-13 18:00:00,72919.13119158708,85496.55731897059
2022-05-13 20:00:00,73973.79591617401,85496.55731897059
2022-05-13 22:00:00,63807.58104718939,85175.21265623119
2022-05-14 00:00:00,62832.01334200829,84454.43646125999
2022-05-14 02:00:00,64326.81683500559,84454.43646125999
2022-05-14 04:00:00,73613.56505931562,84454.43646125999
2022-05-14 06:00:00,105330.71170367658,84704.2715619388
2022-05-14 08:00:00,99756.80462124958,84721.3077307378
2022-05-14 10:00:00,90973.52594211187,84721.3077307378
2022-05-14 12:00:00,74713.62209460817,84721.3077307378
2022-05-14 14:00:00,63822.633394488395,84721.3077307378
2022-05-14 16:00:00,69259.0492392481,84712.7896463383
2022-05-14 18:00:00,70601.21244113689,84704.2715619388
2022-05-14 20:00:00,70897.28656668248,84704.2715619388
2022-05-14 22:00:00,64823.22541789192,84579.3540115994
2022-05-15 00:00:00,83596.20724333939,84395.15611586258
2022-05-15 02:00:00,71180.8484662186,84395.15611586258
2022-05-15 04:00:00,85728.31224805462,84395.15611586258
2022-05-15 06:00:00,93535.18191321258,84395.15611586258
2022-05-15 08:00:00,82299.0465988341,84395.15611586258
2022-05-15 10:00:00,80346.20639069738,84395.15611586258
2022-05-15 12:00:00,71328.52636790031,84395.15611586258
2022-05-15 14:00:00,71103.70429103437,84395.15611586258
2022-05-15 16:00:00,78353.1341286307,84395.15611586258
2022-05-15 18:00:00,76551.31421383038,84395.15611586258
2022-05-15 20:00:00,75935.39616697161,84395.15611586258
2022-05-15 22:00:00,79360.14383114109,84395.15611586258
2022-05-16 00:00:00,67154.82587731122,84853.86799349179
2022-05-16 02:00:00,69744.9279947961,84853.86799349179
2022-05-16 04:00:00,75423.11240410092,84853.86799349179
2022-05-16 06:00:00,94801.90997627468,85496.55731897059
2022-05-16 08:00:00,92144.29434494057,85513.59348776958
2022-05-16 10:00:00,83022.77350770058,85513.59348776958
2022-05-16 12:00:00,74579.20178517581,85513.59348776958
2022-05-16 14:00:00,69174.0069925925,85513.59348776958
2022-05-16 16:00:00,72923.83482451148,85505.07540337008
2022-05-16 18:00:00,75698.4449121189,85496.55731897059
2022-05-16 20:00:00,77928.24540076748,85496.55731897059
2022-05-16 22:00:00,67702.76007023342,85175.21265623119
2022-05-17 00:00:00,60112.26681672259,84853.86799349179
2022-05-17 02:00:00,60263.68605562899,84853.86799349179
2022-05-17 04:00:00,67263.4082312448,84853.86799349179
2022-05-17 06:00:00,89420.24160349253,85496.55731897059
2022-05-17 08:00:00,94692.01095967536,85513.59348776958
2022-05-17 10:00:00,83084.24388074671,85513.59348776958
2022-05-17 12:00:00,75504.96775244238,85513.59348776958
2022-05-17 14:00:00,70345.63809612519,85513.59348776958
2022-05-17 16:00:00,67629.7399636915,85505.07540337008
2022-05-17 18:00:00,63157.7085886507,85496.55731897059
2022-05-17 20:00:00,64426.2073138799,85496.55731897059
2022-05-17 22:00:00,55826.1927808442,85175.21265623119
2022-05-18 00:00:00,61601.06445208371,84853.86799349179
2022-05-18 02:00:00,62062.23816394621,84853.86799349179
2022-05-18 04:00:00,69172.5552630566,84853.86799349179
2022-05-18 06:00:00,91972.36972653202,85496.55731897059
2022-05-18 08:00:00,96750.17331606502,85513.59348776958
2022-05-18 10:00:00,84893.85324844852,85513.59348776958
2022-05-18 12:00:00,77325.48825814112,85513.59348776958
2022-05-18 14:00:00,72199.18766498519,85513.59348776958
2022-05-18 16:00:00,69706.35955028041,85505.07540337008
2022-05-18 18:00:00,65258.351252727414,85496.55731897059
2022-05-18 20:00:00,66533.2114261287,85496.55731897059
2022-05-18 22:00:00,57532.6419038422,85175.21265623119
2022-05-19 00:00:00,62052.8080200722,84853.86799349179
2022-05-19 02:00:00,61650.49088728041,84853.86799349179
2022-05-19 04:00:00,68792.64759872822,84853.86799349179
2022-05-19 06:00:00,91071.55246281109,85496.55731897059
2022-05-19 08:00:00,96958.27664304443,85513.59348776958
2022-05-19 10:00:00,84793.5465922857,85513.59348776958
2022-05-19 12:00:00,77295.1578730917,85513.59348776958
2022-05-19 14:00:00,71566.70938040491,85513.59348776958
2022-05-19 16:00:00,68701.2331701521,85505.07540337008
2022-05-19 18:00:00,64342.10653892161,85496.55731897059
2022-05-19 20:00:00,65539.60132904841,85496.55731897059
2022-05-19 22:00:00,57648.30547060372,85175.21265623119
2022-05-20 00:00:00,56157.514241515506,84853.86799349179
2022-05-20 02:00:00,54724.67997797001,84853.86799349179
2022-05-20 04:00:00,60650.6736773777,84853.86799349179
2022-05-20 06:00:00,80938.8430936747,85496.55731897059
2022-05-20 08:00:00,87610.22775778724,85513.59348776958
2022-05-20 10:00:00,76541.8311147145,85513.59348776958
2022-05-20 12:00:00,69060.5356923821,85513.59348776958
2022-05-20 14:00:00,63529.31770095481,85513.59348776958
2022-05-20 16:00:00,60394.382016228104,85505.07540337008
2022-05-20 18:00:00,57198.4449463887,85496.55731897059
2022-05-20 20:00:00,57841.277776156094,85496.55731897059
2022-05-20 22:00:00,52038.0295998629,85175.21265623119
2022-05-21 00:00:00,41667.56934474721,84454.43646125999
2022-05-21 02:00:00,39148.052845369006,84454.43646125999
2022-05-21 04:00:00,44712.81294660301,84454.43646125999
2022-05-21 06:00:00,64110.56939503088,84704.2715619388
2022-05-21 08:00:00,64264.05988144351,84721.3077307378
2022-05-21 10:00:00,58909.64021554151,84721.3077307378
2022-05-21 12:00:00,49233.18125388869,84721.3077307378
