time;home_charging[kw/car];work_charging[kw/car];public_charging[kw/car]
00:00:00;0.03708593511622457;0;0
00:10:00;0.03332293333288955;0;0
00:20:00;0.030383425819753673;0;0
00:30:00;0.025891757640466164;0;0
00:40:00;0.02022047986657694;0;0
00:50:00;0.018225293088570484;0;0
01:00:00;0.01626683103537537;0;0
01:10:00;0.014298426220089967;0;0
01:20:00;0.012708802582096893;0;0
01:30:00;0.011301361506151077;0;0
01:40:00;0.01018446050501027;0;0
01:50:00;0.00963509970274975;0;0
02:00:00;0.009360693981184437;0;0
02:10:00;0.009229480842226684;0;0
02:20:00;0.009056790485745845;0;0
02:30:00;0.008737188558325408;0;0
02:40:00;0.008318341821863888;0;0
02:50:00;0.007849031623178088;0;0
03:00:00;0.007345238058639031;0.002776521630334524;0
03:10:00;0.006946576707067223;0.00952106433079278;0
03:20:00;0.006747246031281318;0.013008113149992432;0
03:30:00;0.006647160164536497;0.014746171965831755;0.00010365700477715785
03:40:00;0.006597537760015956;0.015609735779990915;0.000446522482116989
03:50:00;0.0065823987213486715;0.013270461650496473;0.000617385676804612
04:00:00;0.0065823987213486715;0.006558712512601225;0.0007028172741484235
04:10:00;0.0065823987213486715;0.003071663693401573;0.0007461026168026214
04:20:00;0.0065823987213486715;0.0013336048775622494;0.0008202564978053868
04:30:00;0.006445587938427461;0.0007705450502962461;0.00100352351725629
04:40:00;0.005700934079837288;0.003969866636242393;0.0010966972951278549
04:50:00;0.007224254779264054;0.0132970168872374;0.0011432841840636374
05:00:00;0.009143020757595498;0.0235051581179705;0.0013186458718035129
05:10:00;0.009419099583770617;0.0332234676033015;0.0014877622530571853
05:20:00;0.00900691943146692;0.04266286714970393;0.001119962983343648
05:30:00;0.009422361442605404;0.04879463249330664;0.0009402185201636876
05:40:00;0.007530417089481149;0.048739227311619594;0.0012376361965323204
05:50:00;0.00603110240307698;0.05032645618244826;0.0012149122960467213
06:00:00;0.0064049593916089085;0.05692635913956863;0.0014163626059800964
06:10:00;0.006619305891932199;0.0715256470078254;0.0019505191556932512
06:20:00;0.006125298844082304;0.0951008784050887;0.0021595869427052015
06:30:00;0.005434268508666177;0.11961381164749585;0.0019407598710823597
06:40:00;0.003797493438206921;0.14488042640292662;0.0020394324986315834
06:50:00;0.003977944129934364;0.16990954378884682;0.003923294024803196
07:00:00;0.008531375366596653;0.1809683146449069;0.004603101515725576
07:10:00;0.01124414192588742;0.19717289964744095;0.008020164825627434
07:20:00;0.01456054124691591;0.2194008160928851;0.011008554404510965
07:30:00;0.016943155499389427;0.23838136432254514;0.013847783415535359
07:40:00;0.018921557865410246;0.24964235157274484;0.018305420071759795
07:50:00;0.018432187808985645;0.26885029906300784;0.024552058724940908
08:00:00;0.02090497862171612;0.2734911893431298;0.026300350562046403
08:10:00;0.021890605871100442;0.26654002892732265;0.026875683636551573
08:20:00;0.023943800378798778;0.2529432746698924;0.030594130180857614
08:30:00;0.023523223136533426;0.2362043340314341;0.030963141623343415
08:40:00;0.022344068281544973;0.2109522318437469;0.03090666510523877
08:50:00;0.020874053713880736;0.1824491675880441;0.03232732319091643
09:00:00;0.019034461105106086;0.15300682589555964;0.03394641550697535
09:10:00;0.017051464946239405;0.12718737103009817;0.033853011550232584
09:20:00;0.015256168137490778;0.10499621199960758;0.03586219912760414
09:30:00;0.012548868994088575;0.08794892888718822;0.03818936253702622
09:40:00;0.009288761315888456;0.07321911092006954;0.045138217112174486
09:50:00;0.007426376497626492;0.06289429731534592;0.05368238800282591
10:00:00;0.005609071027737422;0.05471531453497612;0.06700361245208196
10:10:00;0.0057644094833445274;0.04880853251817366;0.0832616711472781
10:20:00;0.007908943426771817;0.04381217463183805;0.10696302293541286
10:30:00;0.010366914048284928;0.03973159454613771;0.12785710084657181
10:40:00;0.014290833196136365;0.0368795828491572;0.13894336468634683
10:50:00;0.018459800687062905;0.03442749166912022;0.14114485376850286
11:00:00;0.02099854820074732;0.03152613944001384;0.12998264914747376
11:10:00;0.021759130819954488;0.027935076936549248;0.1236798850977692
11:20:00;0.023234911782273153;0.026042091857094794;0.11662575119153332
11:30:00;0.025158190747479138;0.025202628706774737;0.10634211814690815
11:40:00;0.028395204491753645;0.02289531829779539;0.09599337856967308
11:50:00;0.03378464487275314;0.020418232413058096;0.09625553567184879
12:00:00;0.03821593752596815;0.01843433596484538;0.08034995363037686
12:10:00;0.048028864380526864;0.015361531977047403;0.05881189793045975
12:20:00;0.0531993979156394;0.012124294227504528;0.05850271751887719
12:30:00;0.05742981083461056;0.011633484315502294;0.05949863881833738
12:40:00;0.06100456798768521;0.01264413861027997;0.05335630027297592
12:50:00;0.06675116985509606;0.015037789342651686;0.047221058999612105
13:00:00;0.06594249608455668;0.017605981430726194;0.04544439752718911
13:10:00;0.06758096576739302;0.02010048943898942;0.03969833860401898
13:20:00;0.06536455220006879;0.02168295858683566;0.03898906157804814
13:30:00;0.06033140444160351;0.022602229149036007;0.042581014677803106
13:40:00;0.05475826906570487;0.021815632831211528;0.04871268058646312
13:50:00;0.057150304785238984;0.020678360471635775;0.05989517189937399
14:00:00;0.06039020508820934;0.018922324981323686;0.07193092351627862
14:10:00;0.07100691968939361;0.020162944816872468;0.08874946034952612
14:20:00;0.08266075059403757;0.02416086720815345;0.09475622037806863
14:30:00;0.09308154938710649;0.028806964206727865;0.101072989919742
14:40:00;0.0964300254421909;0.03232171061215905;0.10869488127410834
14:50:00;0.10664877878834918;0.03447840265098827;0.1078398334708075
15:00:00;0.11677368096596903;0.032726187406078966;0.0910209051379538
