time;home_charging[kw/car];work_charging[kw/car];public_charging[kw/car]
00:00:00;0.17511270332559709;0;0
00:10:00;0.16927217549819099;0;0
00:20:00;0.16318403656091376;0;0
00:30:00;0.1552613899032618;0;0
00:40:00;0.14546788737643268;0;0
00:50:00;0.14024377456928516;0;0
01:00:00;0.13511932515108432;0;0
01:10:00;0.12980908831885718;0;0
01:20:00;0.12421811835979787;0;0
01:30:00;0.11813741435393699;0;0
01:40:00;0.11217684802273674;0;0
01:50:00;0.10599388270542281;0;0
02:00:00;0.10046890919482018;0;0
02:10:00;0.09482682243589297;0;0
02:20:00;0.08899016680748045;0;0
02:30:00;0.08253842957429675;0;0
02:40:00;0.07694365440438006;0;0
02:50:00;0.07155291073797641;0;0
03:00:00;0.0659342392116286;0;0
03:10:00;0.06028306945737654;0;0
03:20:00;0.054902977997176;0;0
03:30:00;0.04935553473111509;0;0
03:40:00;0.04398349327888375;0;0
03:50:00;0.039750970799586956;0;0
04:00:00;0.036595445620337785;0;0
04:10:00;0.03418387996899702;0;0
04:20:00;0.03197103401931462;0;0
04:30:00;0.029944034588398095;0;0
04:40:00;0.02794665237921934;0;0
04:50:00;0.026160539067155677;0;0
05:00:00;0.024518626291171068;0;0
05:10:00;0.023011304680638438;0;0
05:20:00;0.021501781591145436;0;0
05:30:00;0.019833232292906795;0;0
05:40:00;0.01852911637260931;0;0
05:50:00;0.018732236695612896;0;0
06:00:00;0.01955134192395041;0;0
06:10:00;0.02110455102868639;0;0
06:20:00;0.02360962502031552;0;0
06:30:00;0.026507959112498196;0;0
06:40:00;0.029027531412972277;0;0
06:50:00;0.030248552892465107;0;0
07:00:00;0.030791158329185823;0;0
07:10:00;0.030643006864903996;0;0
07:20:00;0.03006013945021816;0;0
07:30:00;0.02879310508430013;0;0
07:40:00;0.029032817348045376;0;0
07:50:00;0.029947558887719876;0;0
08:00:00;0.031873465306928625;0;0
08:10:00;0.03401890340520055;0;0
08:20:00;0.0362548223836454;0;0
08:30:00;0.03828985250980949;0;0
08:40:00;0.039230170898771524;0;0
08:50:00;0.040481395722430945;0;0
09:00:00;0.04033951138363234;0;0
09:10:00;0.04081096964129191;0;0
09:20:00;0.04189473813331064;0;0
09:30:00;0.04341769885313236;0;0
09:40:00;0.043922063746056825;0;0
09:50:00;0.04632126669629745;0;0
10:00:00;0.04887578469501653;0;0
10:10:00;0.050956930438128704;0;0
10:20:00;0.05531066199075587;0;0
10:30:00;0.0620879914297015;0;0
10:40:00;0.07095288367721153;0;0
10:50:00;0.08144829194060621;0;0
11:00:00;0.09522713011754913;0;0
11:10:00;0.1072617006052786;0;0
11:20:00;0.1182408302917145;0;0
11:30:00;0.1277476092697011;0;0
11:40:00;0.1355492724814917;0;0
11:50:00;0.1404742885455197;0;0
12:00:00;0.14356456729306782;0;0
12:10:00;0.1438106990068057;0;0
12:20:00;0.14411102985407773;0;0
12:30:00;0.1436136751553347;0;0
12:40:00;0.14235291561840435;0;0
12:50:00;0.14530014590720658;0;0
13:00:00;0.15199457907744263;0;0
13:10:00;0.15846447298066932;0;0
13:20:00;0.16463941378849378;0;0
13:30:00;0.17086542273066307;0;0
13:40:00;0.17388433038361162;0;0
13:50:00;0.17629396374867648;0;0
14:00:00;0.17683528410484156;0;0
14:10:00;0.17908716927203383;0;0
14:20:00;0.18232677782026285;0;0
14:30:00;0.18639869719013552;0;0
14:40:00;0.19069634216841466;0;0
14:50:00;0.19951720023208763;0;0
15:00:00;0.20581663870965342;0;0
15:10:00;0.21084282993897296;0;0
15:20:00;0.21555635368883977;0;0
15:30:00;0.21853830061953977;0;0
15:40:00;0.22197746845205552;0;0
15:50:00;0.22968956602749446;0;0
16:00:00;0.24115735426277682;0;0
16:10:00;0.25627005568995354;0;0
16:20:00;0.2726254623222565;0;0
16:30:00;0.2857298125430626;0;0
16:40:00;0.29707065559886314;0;0
16:50:00;0.30755908152882716;0;0
17:00:00;0.31301709767258257;0;0
17:10:00;0.3186742380898786;0;0
17:20:00;0.32357901268464484;0;0
17:30:00;0.3284075384035704;0;0
17:40:00;0.3305275477099018;0;0
17:50:00;0.33564227725664;0;0
18:00:00;0.3376412927252467;0;0
18:10:00;0.337786909308309;0;0
18:20:00;0.3366807248003557;0;0
18:30:00;0.33343712994810215;0;0
18:40:00;0.32857889130719875;0;0
18:50:00;0.3254781217313304;0;0
19:00:00;0.32119211374360546;0;0
19:10:00;0.3154240401506131;0;0
19:20:00;0.31382230530953575;0;0
19:30:00;0.31095221774633997;0;0
19:40:00;0.30620818759298163;0;0
19:50:00;0.3025773513811717;0;0
20:00:00;0.29742316562042104;0;0
20:10:00;0.2872042841854256;0;0
20:20:00;0.27720706607499535;0;0
20:30:00;0.2681803376554321;0;0
20:40:00;0.25952155118236;0;0
20:50:00;0.2527909848864196;0;0
21:00:00;0.24710257691930806;0;0
21:10:00;0.24129970884938756;0;0
21:20:00;0.23558852794072835;0;0
21:30:00;0.2284195077611412;0;0
21:40:00;0.22071264394353687;0;0
21:50:00;0.21426833514469842;0;0
22:00:00;0.20660369640706583;0;0
22:10:00;0.19736712180963012;0;0
22:20:00;0.1920911105153253;0;0
22:30:00;0.1871634510923329;0;0
22:40:00;0.18118408724414375;0;0
22:50:00;0.17615874213266927;0;0
23:00:00;0.1712610262519999;0;0
23:10:00;0.16331759626165077;0;0
23:20:00;0.15587595813892524;0;0
23:30:00;0.15196020872794058;0;0
23:40:00;0.14784397155025203;0;0
23:50:00;0.1444743783732009;0;0
00:00:00;0.14310287812056421;0;0
