regional_id;share_of_commercial_vehicles
08111;0.260178486
08115;0.162406032
08116;0.134837899
08117;0.108993174
08118;0.107122294
08119;0.108791676
08121;0.15177442
08125;0.169195078
08126;0.173803297
08127;0.102999681
08128;0.092627416
08135;0.085315115
08136;0.103029084
08211;0.180749691
08212;0.19832424
08215;0.09667256
08216;0.086424285
08221;0.183770727
08222;0.194761408
08225;0.090036503
08226;0.142619003
08231;0.135526336
08235;0.106397125
08236;0.092984572
08237;0.109252317
08311;0.184009369
08315;0.094924431
08316;0.092473724
08317;0.10397472
08325;0.111281001
08326;0.107574263
08327;0.122948113
08335;0.098265584
08336;0.077173371
08337;0.082946233
08415;0.110139118
08416;0.118377369
08417;0.095639243
08421;0.193954439
08425;0.080707904
08426;0.08979261
08435;0.102944944
08436;0.104069771
08437;0.094879104
09161;0.357996465
09162;0.318107716
09163;0.158177905
09171;0.08494008
09172;0.099770844
09173;0.100227267
09174;0.09081411
09175;0.109747769
09176;0.063349482
09177;0.078724427
09178;0.105161369
09179;0.0897016
09180;0.110519655
09181;0.108152866
09182;0.119296857
09183;0.086959259
09184;0.287209859
09185;0.084442754
09186;0.07858446
09187;0.100896836
09188;0.132977191
09189;0.084518161
09190;0.082594271
09261;0.118642363
09262;0.178199552
09263;0.14781878
09271;0.108259145
09272;0.083272886
09273;0.074789965
09274;0.083464731
09275;0.07975088
09276;0.084262295
09277;0.10987581
09278;0.058497129
09279;0.128625679
09361;0.11904385
09362;0.226334061
09363;0.143870314
09371;0.066754198
09372;0.090482292
09373;0.120675321
09374;0.067931711
09375;0.081684633
09376;0.090731522
09377;0.075430473
09461;0.185535883
09462;0.201657728
09463;0.165684888
09464;0.161574662
09471;0.067444567
09472;0.061393443
09473;0.069346085
09474;0.061824557
09475;0.084606146
09476;0.088828692
09477;0.102303496
09478;0.081910149
09479;0.09155961
09561;0.1669036
09562;0.124252503
09563;0.109733148
09564;0.167160185
09565;0.131295918
09571;0.07306459
09572;0.087832165
09573;0.058383044
09574;0.093726094
09575;0.069704447
09576;0.088406523
09577;0.085022358
09661;0.186407156
09662;0.18473869
09663;0.187090158
09671;0.091974482
09672;0.081257055
09673;0.088164941
09674;0.072228685
09675;0.085261019
09676;0.097503054
09677;0.072725407
