regional_id;share_of_commercial_vehicles
08111;0.2656889
08115;0.15595984
08116;0.122260579
08117;0.100803177
08118;0.090595367
08119;0.10397239
08121;0.142384888
08125;0.158592221
08126;0.168290056
08127;0.087154509
08128;0.087078715
08135;0.086536747
08136;0.105658269
08211;0.17115012
08212;0.182609922
08215;0.092266878
08216;0.085586891
08221;0.177786195
08222;0.187778897
08225;0.084251066
08226;0.133945984
08231;0.134236295
08235;0.101908952
08236;0.090090158
08237;0.097805634
08311;0.176665952
08315;0.09030033
08316;0.07891847
08317;0.101140414
08325;0.104467281
08326;0.106317481
08327;0.116573888
08335;0.090407677
08336;0.075458165
08337;0.076528856
08415;0.107877368
08416;0.110467745
08417;0.092512045
08421;0.189166492
08425;0.073089675
08426;0.082519613
08435;0.097077056
08436;0.096777061
08437;0.083237797
09161;0.370242146
09162;0.308826549
09163;0.152824397
09171;0.080623821
09172;0.095891251
09173;0.098569772
09174;0.088712991
09175;0.10072867
09176;0.05799684
09177;0.078415766
09178;0.10168373
09179;0.082908423
09180;0.122662404
09181;0.105174924
09182;0.113551835
09183;0.08107054
09184;0.292884223
09185;0.08657138
09186;0.073472517
09187;0.099708756
09188;0.135215658
09189;0.077961871
09190;0.080213478
09261;0.114900203
09262;0.17305272
09263;0.153491747
09271;0.094594595
09272;0.073215747
09273;0.07465756
09274;0.079487866
09275;0.073496799
09276;0.088969896
09277;0.109970514
09278;0.05650725
09279;0.131924524
09361;0.125725185
09362;0.321390847
09363;0.143010177
09371;0.063495468
09372;0.086797135
09373;0.114097135
09374;0.060615413
09375;0.066516006
09376;0.086429515
09377;0.066328833
09461;0.188901633
09462;0.18747949
09463;0.180919348
09464;0.155903206
09471;0.061528869
09472;0.0594722
09473;0.067921426
09474;0.058367862
09475;0.079460199
09476;0.0882392
09477;0.100812086
09478;0.081488322
09479;0.086011683
09561;0.145441729
09562;0.124127258
09563;0.10851895
09564;0.159278089
09565;0.11896407
09571;0.06585591
09572;0.084853326
09573;0.053556026
09574;0.091500199
09575;0.066721409
09576;0.084876723
09577;0.079944532
09661;0.18775764
09662;0.178637458
09663;0.177344042
09671;0.08531839
09672;0.077391044
09673;0.084078382
09674;0.067787577
09675;0.081226966
09676;0.086279103
09677;0.069876433
09678;0.039999489
09679;0.069912256
09761;0.148067863
09762;0.104408075
09763;0.160432971
09764;0.159860108
09771;0.079379204
09772;0.083510335
09773;0.075730278
09774;0.105782726
09775;0.095968277
09776;0.10598356
09777;0.085550271
09778;0.078417632
09779;0.089696055
09780;0.092646782
11000;0.136283366
12051;0.094587539
12052;0.109578654
12053;0.103144431
12054;0.109865441
12060;0.055866716
12061;0.085424128
12062;0.063051363
12063;0.062202996
12064;0.068450241
12065;0.059229043
12066;0.079878234
12067;0.065182413
12068;0.088345897
12069;0.070209631
12070;0.094835722
12071;0.06060263
12072;0.08759472
12073;0.06697858
04011;0.139801579
04012;0.113177105
02000;0.207367358
06411;0.175911641
06412;0.286854053
06413;0.163584212
06414;0.262996793
06431;0.090726843
06432;0.083257736
06433;0.130635867
06434;0.226573659
06435;0.077077418
06436;0.306671516
06437;0.057886215
06438;0.118202
06439;0.061527576
06440;0.075111744
06531;0.090917914
06532;0.077071244
06533;0.076799483
06534;0.068270975
06535;0.057226982
06611;0.143187783
06631;0.080080398
06632;0.060435369
06633;0.056798392
06634;0.048713678
06635;0.069784138
06636;0.054156473
13003;0.098311084
13004;0.136199986
13071;0.066944184
13072;0.079147968
13073;0.08037852
13074;0.061607222
13075;0.061468918
13076;0.057862758
03101;0.232867696
03102;0.062373416
03103;0.606490641
03151;0.048308909
03153;0.073344301
03154;0.055648363
03155;0.072286675
03157;0.049394598
03158;0.05069902
03159;0.076018065
03241;0.115171383
03251;0.072060404
03252;0.052643591
03254;0.060135845
03255;0.055536976
03256;0.071367543
03257;0.054768239
03351;0.064124007
03352;0.044918352
03353;0.077419899
03354;0.050983319
03355;0.090104407
03356;0.041494521
03357;0.120601541
03358;0.054609412
03359;0.067920794
03360;0.054165269
03361;0.076287753
03401;0.080257845
03402;0.084833218
03403;0.128348818
03404;0.151968726
03405;0.073447866
03451;0.076320401
03452;0.068623334
03453;0.06925951
03454;0.08519192
03455;0.057694941
03456;0.089067482
03457;0.054442344
03458;0.068315538
03459;0.067083849
03460;0.0976579
03461;0.055488022
03462;0.04789288
05111;0.270604181
05112;0.084676519
05113;0.135925189
05114;0.108349859
05116;0.103273564
05117;0.102713117
05119;0.076563283
05120;0.112901151
05122;0.141307415
05124;0.115617451
05154;0.069362999
05158;0.126828792
05162;0.106607962
05166;0.082594279
05170;0.065708405
05314;0.244754606
05315;0.196748667
05316;0.132555615
05334;0.107058376
05358;0.066482233
05362;0.085076366
05366;0.098374988
05370;0.072895411
05374;0.084943997
05378;0.082399947
05382;0.071898042
05512;0.068363657
05513;0.090003902
05515;0.161241278
05554;0.100723416
05558;0.077093029
05562;0.056870021
05566;0.084992055
05570;0.088115657
05711;0.121951927
05754;0.096447365
05758;0.084516324
05762;0.057074405
05766;0.086001386
05770;0.081145608
05774;0.086713785
05911;0.167682252
05913;0.094051585
05914;0.086109422
05915;0.077137871
05916;0.071122327
05954;0.082593541
05958;0.08300694
05962;0.073822401
05966;0.091195883
05970;0.110803702
05974;0.067728162
05978;0.073979634
07111;0.189377531
07131;0.071071822
07132;0.079482198
07133;0.075823978
07134;0.074653177
07135;0.058763661
07137;0.074242206
07138;0.090046602
07140;0.080441685
07141;0.063358368
07143;0.088221503
07211;0.076636117
07231;0.068605228
07232;0.071689256
07233;0.061524581
07235;0.076636117
07311;0.102660186
07312;0.11333455
07313;0.129706202
07314;0.129456919
07315;0.159716343
07316;0.111377354
07317;0.127988871
07318;0.125097972
07319;0.095848383
07320;0.085921667
07331;0.059619356
07332;0.061177067
07333;0.061663432
07334;0.075317943
07335;0.052164262
07336;0.032971206
07337;0.065270775
07338;0.051121498
07339;0.115198177
07340;0.045184765
10041;0.098721876
10042;0.064114055
10043;0.066313982
10044;0.06613816
10045;0.081601012
10046;0.061447524
14511;0.135174811
14521;0.082717391
14522;0.087831406
14523;0.094997013
14524;0.090560291
14612;0.142615106
14625;0.085056976
14626;0.08767234
14627;0.083781528
14628;0.094107263
14713;0.120595982
14729;0.086680623
14730;0.080251457
15001;0.086966847
15002;0.111855161
15003;0.123955669
15081;0.065324657
15082;0.080925042
15083;0.069718257
15084;0.07688392
15085;0.072755644
15086;0.074832049
15087;0.076894158
15088;0.085713786
15089;0.072634654
15090;0.083768976
15091;0.074004777
01001;0.136098393
01002;0.143795673
01003;0.115976201
01004;0.130210298
01051;0.059608389
01053;0.059203197
01054;0.071518485
01055;0.061351099
01056;0.091562486
01057;0.053538692
01058;0.064324187
01059;0.063130741
01060;0.095601337
01061;0.069233131
01062;0.114444825
16051;0.126058451
16052;0.092469268
16053;0.12219788
16054;0.085171177
16055;0.148731211
16061;0.05731107
16062;0.0742759
16063;0.0894202675
16064;0.066592694
16065;0.06364046
16066;0.071998949
16067;0.079292724
16068;0.065256693
16069;0.048168871
16070;0.075739283
16071;0.066841768
16072;0.064565037
16073;0.05390581
16074;0.057894843
16075;0.084246399
16076;0.071895316
16077;0.074524981
