regional_id;share_of_commercial_vehicles
08111;0.25466986
08115;0.150233002
08116;0.115724482
08117;0.096590133
08118;0.086115874
08119;0.100525006
08121;0.139710586
08125;0.155585916
08126;0.165218478
08127;0.082413256
08128;0.087055732
08135;0.084321427
08136;0.105314165
08211;0.172608376
08212;0.172201227
08215;0.091138356
08216;0.083634241
08221;0.17494082
08222;0.179438878
08225;0.079416122
08226;0.132113992
08231;0.13958848
08235;0.097938401
08236;0.088158296
08237;0.09538009
08311;0.171935396
08315;0.089345096
08316;0.074409848
08317;0.095294497
08325;0.101870551
08326;0.104696059
08327;0.113920038
08335;0.088868286
08336;0.07369487
08337;0.075144896
08415;0.107416821
08416;0.107173909
08417;0.087914211
08421;0.191316458
08425;0.072270643
08426;0.080364184
08435;0.096325096
08436;0.093318931
08437;0.074144693
09161;0.3580712
09162;0.294488702
09163;0.162174028
09171;0.075343168
09172;0.09414726
09173;0.094696726
09174;0.082413688
09175;0.100625153
09176;0.058871435
09177;0.075222791
09178;0.100862578
09179;0.080054353
09180;0.122925811
09181;0.100140953
09182;0.110764161
09183;0.076271186
09184;0.293877974
09185;0.084831962
09186;0.072501462
09187;0.096940725
09188;0.133161472
09189;0.073898782
09190;0.078219268
09261;0.11853734
09262;0.172835908
09263;0.158681188
09271;0.087826179
09272;0.068598521
09273;0.074119266
09274;0.072773881
09275;0.069847456
09276;0.09071095
09277;0.113711243
09278;0.054821074
09279;0.113413438
09361;0.124801239
09362;0.278165164
09363;0.14629861
09371;0.063566371
09372;0.083921972
09373;0.111572478
09374;0.057437781
09375;0.064797191
09376;0.084486284
09377;0.062797476
09461;0.184480161
09462;0.18677575
09463;0.194883945
09464;0.133461021
09471;0.061609879
09472;0.057756749
09473;0.066665496
09474;0.056386103
09475;0.077997165
09476;0.089229038
09477;0.101345199
09478;0.081001473
09479;0.082318601
09561;0.146504289
09562;0.120179736
09563;0.105602186
09564;0.154720536
09565;0.108110239
09571;0.064373354
09572;0.082647052
09573;0.051297154
09574;0.085320793
09575;0.066085097
09576;0.08272821
09577;0.080790632
09661;0.226180238
09662;0.180789331
09663;0.175634614
09671;0.08454716
09672;0.076502251
09673;0.08082054
09674;0.067641488
09675;0.078746268
09676;0.085040959
09677;0.070575083
09678;0.037445425
09679;0.068413307
09761;0.147151405
09762;0.109337123
09763;0.161478033
09764;0.156432518
09771;0.078464467
09772;0.081780877
09773;0.072696317
09774;0.104517811
09775;0.095041595
09776;0.114880858
09777;0.083726334
09778;0.076682116
09779;0.088426661
09780;0.090510289
11000;0.131104255
12051;0.090354198
12052;0.10541876
12053;0.100792551
12054;0.108874035
12060;0.055919504
12061;0.083433494
12062;0.064086103
12063;0.058879894
12064;0.067315655
12065;0.058231325
12066;0.076789847
12067;0.063523323
12068;0.087055948
12069;0.068261963
12070;0.089392425
12071;0.059987509
12072;0.089577103
12073;0.064754365
04011;0.137522322
04012;0.11253492
02000;0.198082361
06411;0.170296536
06412;0.282774262
06413;0.164686952
06414;0.174026279
06431;0.080623555
06432;0.081091684
06433;0.223263225
06434;0.223213962
06435;0.073723548
06436;0.28942079
06437;0.059240498
06438;0.117262665
06439;0.060024252
06440;0.069195213
06531;0.080566652
06532;0.076390371
06533;0.074290446
06534;0.068301944
06535;0.055704507
06611;0.139568639
06631;0.080087947
06632;0.056384894
06633;0.054823911
06634;0.048080507
06635;0.068647501
06636;0.052160203
13003;0.092322597
13004;0.133247059
13071;0.065507974
13072;0.076946308
13073;0.077835026
13074;0.058615514
13075;0.060257773
13076;0.056411072
03101;0.208283199
03102;0.062475675
03103;0.618510819
03151;0.049580613
03153;0.071046464
03154;0.054372694
03155;0.07020562
03157;0.051758534
03158;0.05110178
03159;0.072993754
03241;0.111778292
03251;0.068852097
03252;0.049995546
03254;0.057741064
03255;0.052142206
03256;0.069281203
03257;0.054464322
03351;0.063194686
03352;0.041904074
03353;0.075823532
03354;0.046353626
03355;0.093184044
03356;0.040415144
03357;0.114493701
03358;0.053523702
03359;0.063902981
03360;0.053300503
03361;0.078043803
03401;0.077480262
