regional_id;share_of_commercial_vehicles
08111;0.261984819
08115;0.150805758
08116;0.120867907
08117;0.098992809
08118;0.091527828
08119;0.102707538
08121;0.14026787
08125;0.156997965
08126;0.164216179
08127;0.088116822
08128;0.085983601
08135;0.084463141
08136;0.099411966
08211;0.170674091
08212;0.181050941
08215;0.09160257
08216;0.082587371
08221;0.176913079
08222;0.18611316
08225;0.083487321
08226;0.130281374
08231;0.131680598
08235;0.099276798
08236;0.088261622
08237;0.096553397
08311;0.174175535
08315;0.089869524
08316;0.084699665
08317;0.097594788
08325;0.103249674
08326;0.104632181
08327;0.114259395
08335;0.088838911
08336;0.074413959
08337;0.075479842
08415;0.105038185
08416;0.109583369
08417;0.091450003
08421;0.182476973
08425;0.07347596
08426;0.082435397
08435;0.095908485
08436;0.096255547
08437;0.083892236
09161;0.331636371
09162;0.287017875
09163;0.148180536
09171;0.078427022
09172;0.095597237
09173;0.097147972
09174;0.090888837
09175;0.101046908
09176;0.056531009
09177;0.075194047
09178;0.099181494
09179;0.082698192
09180;0.119565835
09181;0.104037604
09182;0.109970214
09183;0.080113163
09184;0.273458512
09185;0.084910926
09186;0.072139011
09187;0.098408705
09188;0.132153712
09189;0.076478771
09190;0.078681993
09261;0.110382945
09262;0.17077477
09263;0.146237951
09271;0.094038867
09272;0.074291923
09273;0.073288048
09274;0.07826932
09275;0.073791074
09276;0.08647472
09277;0.107765982
09278;0.057654447
09279;0.126752154
09361;0.119881423
09362;0.255164843
09363;0.134522128
09371;0.065586278
09372;0.083847157
09373;0.111461153
09374;0.060258425
09375;0.067593795
09376;0.08588401
09377;0.067011046
09461;0.183686358
09462;0.183853358
09463;0.167343364
09464;0.13574344
09471;0.06172743
09472;0.057693109
09473;0.067626557
09474;0.05752471
09475;0.078955578
09476;0.08762005
09477;0.098867456
09478;0.082222814
09479;0.086116734
09561;0.136617354
09562;0.119788692
09563;0.106138904
09564;0.156020407
09565;0.119798569
09571;0.067768947
09572;0.084009552
09573;0.053839126
09574;0.088875972
09575;0.066223903
09576;0.083804769
09577;0.078819847
09661;0.165398973
09662;0.17608383
09663;0.176335749
09671;0.085357852
09672;0.077511975
09673;0.086771162
09674;0.067410388
09675;0.080917894
09676;0.10244548
09677;0.068739904
09678;0.039591057
09679;0.070465538
09761;0.141247722
09762;0.10136567
09763;0.160316391
09764;0.157785902
09771;0.079179818
09772;0.084970933
09773;0.073108392
09774;0.104160561
09775;0.092733744
09776;0.101717655
09777;0.085432369
09778;0.077934394
09779;0.087804563
09780;0.093621289
11000;0.133559039
12051;0.091797717
12052;0.109691639
12053;0.10464503
12054;0.110450518
12060;0.056889731
12061;0.08602558
12062;0.062877548
12063;0.060697755
12064;0.069727877
12065;0.059795582
12066;0.079570187
12067;0.06507534
12068;0.087786324
12069;0.069068399
12070;0.096268088
12071;0.059924777
12072;0.088375021
12073;0.065621022
04011;0.136415734
04012;0.111926322
02000;0.193019186
06411;0.169805905
06412;0.276946305
06413;0.160397886
06414;0.294850221
06431;0.080181939
06432;0.081490429
06433;0.109067544
06434;0.189454947
06435;0.075138384
06436;0.230406459
06437;0.055125125
06438;0.11703878
06439;0.061033093
06440;0.074597242
06531;0.086723193
06532;0.07604228
06533;0.077028606
06534;0.066886521
06535;0.055710115
06611;0.139370951
06631;0.078256215
06632;0.060281683
06633;0.055800081
06634;0.048488439
06635;0.068286072
06636;0.053889276
13003;0.09818127
13004;0.134496392
13071;0.066361101
13072;0.077150963
13073;0.080183652
13074;0.061666776
13075;0.063071464
13076;0.057110377
03101;0.224216941
03102;0.062028143
03103;0.591739067
03151;0.047032762
03153;0.071516982
03154;0.054127415
03155;0.071164144
03157;0.048879243
03158;0.050946489
03159;0.075540773
03241;0.112945588
03251;0.072863705
03252;0.05228337
03254;0.059744926
03255;0.056931347
03256;0.072359103
03257;0.052896603
03351;0.064214149
03352;0.045028113
03353;0.07850371
03354;0.052029768
03355;0.092419012
03356;0.042004942
03357;0.118701567
03358;0.054731492
03359;0.067287247
03360;0.052472092
03361;0.075422285
03401;0.079951261
03402;0.082889401
03403;0.126937499
03404;0.1516061
03405;0.071261019
03451;0.075746011
03452;0.068582951
03453;0.070726877
03454;0.086328791
03455;0.05921691
03456;0.090533783
03457;0.054162574
03458;0.069017935
03459;0.067757539
03460;0.098417785
03461;0.055275361
03462;0.048030295
05111;0.264937968
05112;0.08212653
05113;0.135336007
05114;0.107066842
05116;0.101281879
05117;0.098267109
05119;0.075477374
05120;0.111674245
05122;0.134512121
05124;0.112096765
05154;0.070078337
05158;0.124474927
05162;0.101012618
05166;0.08082121
05170;0.064712972
05314;0.232627058
05315;0.186664555
05316;0.125791113
05334;0.105549613
05358;0.073518799
05362;0.085361365
05366;0.114576392
05370;0.072896067
05374;0.08407915
05378;0.082469502
05382;0.075918809
05512;0.06727521
05513;0.088528198
05515;0.163551309
05554;0.10051651
05558;0.076041879
05562;0.056648514
05566;0.085632351
05570;0.08626231
05711;0.123231273
05754;0.096414541
05758;0.083221607
05762;0.055438162
05766;0.085822669
05770;0.079667446
05774;0.087226187
05911;0.1718926
05913;0.093889551
05914;0.086166348
05915;0.076688295
05916;0.07158299
05954;0.082727834
05958;0.08261965
05962;0.072379042
05966;0.092255818
05970;0.108638766
05974;0.067741333
05978;0.073401019
07111;0.186758295
07131;0.071078914
07132;0.077927122
07133;0.07576715
07134;0.07124962
07135;0.058213545
07137;0.075135482
07138;0.088317869
07140;0.079658206
07141;0.061601414
07143;0.087726771
07211;0.077032478
07231;0.069253321
07232;0.068834503
07233;0.062532881
07235;0.077032478
07311;0.099193043
07312;0.112135981
07313;0.124075744
07314;0.126640079
07315;0.156400786
07316;0.107954203
07317;0.123241103
07318;0.122400836
07319;0.095622765
07320;0.087250513
07331;0.058258576
07332;0.060207628
07333;0.059541413
07334;0.072002196
07335;0.052580682
07336;0.032765619
07337;0.066134021
07338;0.052122462
07339;0.11335069
07340;0.044665012
10041;0.098966945
10042;0.061203362
10043;0.066530936
10044;0.06528775
10045;0.081197058
10046;0.059184166
14511;0.131216638
14521;0.080578594
14522;0.08594075
14523;0.092095316
14524;0.088525241
14612;0.14107314
14625;0.083520774
14626;0.086331085
14627;0.082884698
14628;0.093858029
14713;0.118013383
14729;0.085200287
14730;0.08061892
15001;0.08742742
15002;0.113132265
15003;0.122910057
15081;0.064978622
15082;0.080779705
15083;0.069583958
15084;0.076012491
15085;0.072728299
15086;0.074957225
15087;0.075861552
15088;0.085118015
15089;0.070778134
15090;0.082914848
15091;0.073627739
01001;0.133425126
01002;0.141689616
01003;0.116866553
01004;0.129296387
01051;0.059863684
01053;0.05921586
01054;0.071133191
01055;0.062885108
01056;0.090016367
01057;0.053734162
01058;0.063086776
01059;0.064172393
01060;0.093693186
01061;0.069673568
01062;0.115194301
16051;0.125616313
16052;0.089734121
16053;0.117927429
16054;0.084505661
16055;0.151146884
16061;0.057713267
16062;0.074164595
16063;0.083950574
16064;0.064844803
16065;0.061991093
16066;0.071291397
16067;0.076610798
16068;0.065670101
16069;0.046623835
16070;0.073157111
16071;0.064213401
16072;0.061036358
16073;0.053014553
16074;0.059252544
16075;0.082356193
16076;0.06932222
16077;0.071738074
