,year,KBA,KBA2 ambit,KBA2 regio,KBA2 trend,UGR
0,2025,5.381802281772677,6.80577974452319,5.416845102783762,4.444590853566163,14.483872140507412
1,2030,20.834285017707828,23.056608752929993,23.056608752929993,16.66742801416626,35.967402096908586
2,2035,36.73277327802741,32.64037986107559,30.556951359304797,22.917713519478603,57.45093205330975
3,2040,52.631372483996145,44.72435944920469,40.83528471449124,38.33516524217545,78.934462009711
4,2045,68.53081256589495,59.44808183057459,59.44808183057459,50.00305948366087,100.4179919661122
