industry_sector,10,11,12,17,18,19,19,20,20,22,23,23,24,24,25,28,29
,process_heat_above_500C,process_heat_above_500C,process_heat_above_500C,process_heat_above_500C,process_heat_above_500C,non_energetic_use,process_heat_above_500C,non_energetic_use,process_heat_above_500C,non_energetic_use,non_energetic_use,process_heat_above_500C,non_energetic_use,process_heat_above_500C,non_energetic_use,non_energetic_use,non_energetic_use
regional_id,,,,,,,,,,,,,,,,,
1001,30.325510936589595,37.304249233762405,0.0,17.05742239980622,0.9177769058298154,200707.27894531758,15124.656847596012,974.5338909814036,68.69747681565836,0.27913157298968294,0.7531192557102437,161.81161489015517,0.0,0.0,2.521314522838686,0.6763548740827622,0.0023912950995525605
1002,256.3741078465735,0.0,0.0,11.489407224842836,16.43542182606641,198322.41111226787,14944.940856271278,271.83768851420706,19.162559124055395,0.056251210635928764,3.702943787656981,795.5968587779322,1.6756531997985094,76.17951249223971,4.076453979594919,1.554138725052928,1.2584010675217154
1003,816.1771420699719,0.0,30.214735522691825,42.98837668003029,18.00888829944982,0.0,0.0,49356.119053529954,3479.2436422875,0.23259879857898358,1.1208264198913913,240.8154241696284,9.963409345496444,452.9622637857357,3.4291939046806186,0.9615734028999738,1.0155472722069063
1004,66.80586186727594,50.4313672429208,0.0,23.061900192079236,12.74407350904462,0.0,0.0,1317.8988504613417,92.90218284125172,0.20940321900118347,1.8523932712313376,397.9963921476493,24.794425952982163,1127.2184971509862,3.4015659878565594,0.9749966945429089,2.5180045449762796
1051,319.0683588752377,39.74502806531663,0.0,0.0,21.993656497111942,3418703.2644951567,257622.51379698562,5073.119998883535,357.6176741841037,0.16503007260393285,2.3040545414315754,495.03818062976154,19.540539420841913,888.3632765384424,2.3361799314194336,0.24749686644026175,0.0026099557929228
1053,271.40663478018644,66.74285176798709,17.655547808852955,7.00330576580535,14.788262887053541,322364.3975446012,24292.347135414457,1832.6647789631975,129.1893974430289,0.38244465235333713,5.6976797465967035,1224.1763225855634,7.533038403868166,342.47133790034917,5.2429276163370035,1.7281642275443283,0.7676996959087927
1054,157.62110742138572,6.6200299326249565,0.0,0.0,28.79901780893926,0.0,0.0,172.9482204892107,12.191578432846564,0.02747883901045168,0.7492266373059757,160.97526544699596,1.7336770962750645,78.81742834918177,3.448828364814407,0.19576249656019346,0.33492531395467595
1055,550.8240250911296,0.0,0.0,6.10825001227219,9.05610344883962,0.0,0.0,48709.90277639357,3433.6901442231365,0.43772951267887505,1.9847858684924724,426.44163478339,6.568104275865842,298.60294588034134,2.452500050912122,0.33178419988784086,0.67042986820189
1056,667.3578180555598,47.3665428259641,54.59242967015346,80.49633995636316,18.973971164538213,783426.52319993,59036.51024003179,2156.4065280974905,152.01081136329466,1.42758604910755,3.2381266890241385,695.7284716824436,1.767201943161496,80.34155427959053,14.925755395555804,1.2393370612095689,1.8509380003605245
1057,125.72886966174495,0.0,0.0,0.0,23.64796163380468,0.0,0.0,164.92401712805332,11.62593107109898,0.02620247267644736,0.7731617749459898,166.11785507643833,0.0,0.0,1.222882408637636,0.2361764184111028,0.31726755618263613
1058,322.6654813582054,18.07543108876964,0.0,8.264934836919531,8.15529332591866,0.0,0.0,25897.981593965076,1825.6173608617094,0.24893493173439643,53.09064267387486,11406.802523611306,8.88741126316693,404.04461819874683,6.748837025416624,0.9659873156200938,0.9065762422985992
1059,554.6653663479015,26.163643162181383,0.0,57.779140942382895,12.690505391120482,0.0,0.0,0.0,0.0,0.15796177755038845,165.8828557043408,35640.79999361632,13.964167268339422,634.8470286035939,4.343248651979719,0.09268981966255489,0.01053902327422724
1060,575.3203087606869,28.863710467625744,0.0,38.591294752569155,30.22977718645441,0.0,0.0,107499.91904710676,7577.954204329146,0.9018790350330322,15.495030731363522,3329.1884736766933,5.724949038718144,260.2709360534189,9.225122965471627,2.426522924832464,1.445892618594902
1061,191.47336316310555,28.992530995387934,0.0,13.257729851278487,31.883909235872494,0.0,0.0,1469565.582944573,103593.57278150394,0.09953009529558172,46.98321114127775,10094.588884632443,14.25437201956996,648.0404844298547,5.857846446948292,1.0463737703321863,0.02047702413141612
1062,283.4822346049598,1.0041293467006207,0.0,69.37348500716557,92.415406576111,0.0,0.0,54814.20984151004,3863.9989276962197,1.2870576663465967,2.827405060473083,607.4827795397233,6.486042137499479,294.87218960238835,8.39397709364577,3.5886407830988127,1.8939254954666476
2000,1882.0013833038058,127.46561106996427,443.21443944134717,25.80104439293953,139.27379843891197,15261191.956976581,1150034.4812977596,26944.64978586427,1899.3997757290585,2.7552991262788575,10.960099201995625,2354.8346928916417,285.14815673612327,12963.570010089597,24.082435229313415,9.902289365236904,4.288798381451187
3101,168.47291399651135,48.14337721310165,0.0,13.44516106867517,44.85397616739829,0.0,0.0,103396.50049469783,7288.693355139822,0.31024078045930176,3.9362878609202108,845.732054543391,14.458192812457941,657.3067029050471,6.105658783484716,1.8586202244369094,7.673971808547577
3102,57.14514475153112,0.0,0.0,407.9887033412781,2.195490526665376,0.0,0.0,4122413.864797336,290599.8791035043,0.407556186377219,169.4573135167604,36408.79096795262,75.32484615360727,3424.461612477305,6.640281435797893,0.3923648394367882,15.983682040887757
3103,67.78482806438753,0.0,0.0,0.0,2.180676214077286,0.0,0.0,0.0,0.0,0.09443959345293901,2182.6614112429356,468956.2310799919,0.0,0.0,1.2936876263176265,0.09054115818419052,66.01052638068147
