application,2020,2025,2030,2035,2040,2045
hot_water,55031.56067062242,290082.53112264816,467869.00485278043,599542.9393895873,739881.7961580865,862530.0585311041
mechanical_energy,9352126.43800719,52530958.03522277,90243426.07649085,123105878.49899529,157520289.07610068,190272443.01466334
process_heat,8529.678758677961,47119.20866231884,79814.96497713053,107645.26579912961,135852.82001205374,162302.5346026522
space_heating,6548278.139602331,34900922.22748457,56892526.66673952,73649201.52281386,91772941.3400018,107970831.51452465
