old_ags_lk,new_ags_lk
14161,14511
14171,14521
14181,14521
14188,14521
14191,14521
14177,14522
14182,14522
14375,14522
14166,14523
14178,14523
14167,14524
14173,14524
14193,14524
14262,14612
14264,14625
14272,14625
14292,14625
14263,14626
14284,14626
14286,14626
14280,14627
14285,14627
14287,14628
14290,14628
14365,14713
14379,14729
14383,14729
14374,14730
14389,14730
