,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99,total_consumption,nuts3
0,1251.1473732179595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.019245216,1494.628758016,0.0,238.938954215,795.925044932,0.0,0.0,2075.065034709,173.20323163400002,584147.3799140323,2773.477614048,4642.720231697,2872.556871746,585.15504698,0.0,3706.710413526,637.174233741243,188.88265756935377,2670.851768547475,8.202978852134619,4250.494462309,121.77444652885865,586.6316156241403,325.47875019474037,10327.54325205998,0.0,2869.045176402599,2166.57516161938,0.0,12719.794384645304,1276.7281800623273,14786.087204005664,20904.46526430826,31707.310983289157,36432.62388130949,57585.236724606315,503494.31527436787,328.1901323194404,23183.48118474085,19547.3580310838,1048.107888643566,7728.000451875952,806.3357321616082,33.549943270015376,286.31893848747234,928.3423485983228,1382.452126898114,171.9903590111294,1647.9904552991293,140.59045895271584,211.6229067955873,2070.1122289998534,4085.674451403632,1517.760866351258,2132.4986002711335,201.29537929755784,489.29341264746773,227.94385342277437,19.26743169626997,95.69631312132564,1917.1426435842063,79.74649958859996,136.80726740433258,964.1134449379072,1176.0384675083446,24052.198864138547,7372.9648261510465,8004.138968766336,3493.925148010598,5133.257698602161,1603.8888374082624,701.8880801015599,1819.800275326946,3719.9315047920486,7670.746598508669,110.6478236791455,7839.284417540192,524.8484327895745,0.5527681576432587,1859.6643655898256,1455496.6045619478,DEF01
1,4855.949659541392,863.5966307353153,0.0,0.0,0.0,0.0,429.722510341,0.0,10271.862382138,0.0,0.0,476.91943877,98.909102247,0.0,362.17810270100006,1397.706326489,3101.699503943,579472.2192761577,773.6372749330001,3127.894833209,578.884000565,2877.095798045,276.030837152,5992.99860432,4702.552130018004,856.7357023710881,6137.124638903404,4316.755947986354,42262.097212581,368.4743991728595,1110.7470023465848,2570.682892906166,79766.9773659491,460.0270738740152,449.1964703572531,29156.551802053767,0.0,25722.300694228932,9877.764893296113,49775.2599700752,21087.307381994004,76954.50069657882,69480.82141171122,165968.16714468435,52612.50413140226,11595.270290530689,82494.18437231767,69854.83593225753,7179.715860338671,15832.235746946904,1431.497483962104,357.6202250186989,1100.860435966069,646.9621548657666,6790.02345519669,548.2307124391983,8636.461354243842,2351.713322593057,2001.187759561723,4258.242134272879,9872.021126625334,13175.197805781958,7581.139807886592,2438.456971013229,2042.0829816214275,705.0461793761048,133.65682505177847,335.49638431548817,3389.304982513034,383.8745188332149,2003.1931312151032,3258.87258756591,2035.169079341156,61055.47807171698,22317.168727989352,24231.588294305835,7481.727172329483,16127.23220470532,8778.682222143301,712.3974188969296,4861.354290739512,6696.180566207866,55038.08286896879,549.4783875947103,14327.933643771106,1114.7252599475491,1.1182464735960866,1253.31147855962,1745572.8657197796,DEF02
2,8446.6275410574,779.6071164461366,1670.9376372775446,0.0,0.0,0.0,346.759650077,0.0,32700.881353457997,0.0,1253.1256326845614,384.6241315790001,88.025563606,1317.8278975762732,519.934868222,5229.610620925,3398.644737939,0.0,135276.73804076816,2522.229018176,2393.685780729,870.854425,1641.275308552,5041.429239129,6386.242124032027,1068.5613708311894,3797.148689445754,3483.682460945489,726.039118054,1333.6781832018066,13527.485535495842,2111.766333603227,5610.122641920181,0.0,0.0,37049.5195744446,0.0,35943.703664811525,34296.15793275886,52550.46143542613,17683.84876672563,56964.73891467946,64124.43034668559,122316.48739257274,2897810.4312349497,680.5326722462739,136896.70196645442,78148.3201526203,10078.97941277011,15977.09348753732,947.3633258797252,199.29321042906184,155.5122084877835,531.5463865777753,3001.8931664673237,243.46545340729517,2628.1496304929765,316.7104478976924,1486.1845541447417,4386.2464251801985,5775.117246708758,5776.023122863896,5290.696802700455,544.0303768598193,1108.0702863882902,448.18510914732144,315.49356933100705,223.92582471248932,3463.0664797421136,67.33342594559507,775.5699035831185,4113.440107305295,2301.0432177958955,33190.11997043812,10236.26039619084,16975.795127261725,9303.787081842009,9521.400633959009,6831.260467583683,407.0650480258033,3281.340535917164,2777.0405580658826,14197.175183861804,1691.98599724334,13173.659694513606,1565.9362378406945,1.1462160319750476,0.0,3969701.2854062384,DEF03
3,17232.0729033973,0.0,0.0,0.0,0.0,0.0,862.5370133299999,0.0,2676.637766523,2020.578709814,0.0,313.864414712,1074.077588194,797.8118867934435,253.523950603,2805.520177719,2405.066745444,0.0,3750.678137682,0.0,2154.97892003,1439.263786491,4084.392971844,5000.812058659,476.9865812647216,789.0962030912768,3850.155806860087,8637.636582738722,0.0,86.57950198663777,1476.5243031266136,963.6784542433544,13961.827573802517,0.0,1702.0813316801523,11679.031042036884,0.0,20064.60737846727,25780.625300444637,23238.073444217283,12548.037029987749,50091.66489326333,26956.98056296464,82871.92620262768,1233.6086542164633,244.24474412242887,23266.44030591242,27860.675618532496,1184.9526845929938,6670.631067656923,177.22885421741353,45.33119320774666,0.0,76.0276501146597,444.9707971398459,39.48875664213568,2295.4908432171387,30.121185669564817,696.8895027092855,883.2643943763783,1798.7746545384816,1625.5272411000626,1675.6540449280556,56.72338925785935,224.95361081033607,178.68058238596203,51.05906250765239,45.097131569597714,1004.025532769149,66.22810650451679,124.23185227894383,689.6878087636213,239.6651573630799,12220.96357505562,2468.2804691835163,5115.878477737192,2069.952121118926,2552.240125803157,1968.705958827457,841.5227107089224,1344.9511552353754,1459.654462452365,14025.68388613691,201.7689769051344,7337.079426243115,341.3118660781392,0.411379574825564,0.0,456925.4082422052,DEF04
4,145296.24070787334,330.9039852076793,5373.498871948289,0.0,1961.525513335708,0.0,679.773252815,0.0,12783.764711616,1592.420787303,0.0,0.0,0.0,588.2098470352421,97.549505062,0.0,4150.651815872,9924716.8085607,14437.860889695,0.0,1698.332668088,1790.19342981,3218.918721001,3434.53480366,1300.3756790307402,645.5039102593463,977.3381826195643,8.953061534880286,0.0,314.88229171450666,390.4119232005232,2621.768286064708,13052.320793389295,0.0,896.3629637858189,10337.756768475683,0.0,43028.751560760255,14163.856739074035,41323.08938190607,11200.00092688146,11554.952086619862,29822.35370333737,106497.41729851274,205003.7933765205,358.1999299474111,42243.90502377315,9609.59712044093,4403.326944373963,8937.893284751555,165.20404952903348,35.725850499459405,304.90017991286516,199.8582134003074,328.836944588239,8.766563050137506,1493.144403354754,0.0,288.194192934249,729.4232726228686,2848.4849319079085,2992.3812276674707,2445.4899388486783,476.4596722923175,168.50308545626734,76.3021626424334,293.33866893074594,79.63296450206606,476.65071799858634,61.931368744477254,42.826225156143245,692.262012950359,285.5780042020034,16315.725712767944,3768.718319301283,5981.538528575107,4516.363409950843,4812.523973246736,431.4924320501659,752.7888918713068,1405.981186663019,2691.4334077634367,8751.020089644688,415.7986539350739,5702.665838106694,723.5946260587967,53.045993828427875,0.0,10751660.58502295,DEF05
5,66583.2435438881,17336.668998696543,218.4878653985836,0.0,0.0,0.0,262.54743832500003,0.0,10874.154279767,2674.113209445,707.385620557,1697.739818172,95.203938134,0.0,1952.226271621,851.964299258,2790.846997806,517839.1847487808,5215.677756871,0.0,3935.756899205,4426.956334628,1240.9195990960002,7707.889760202999,568.754805729546,678.4202253208676,6824.332403513444,2633.4785579196187,1743.178591079,498.5536596541606,472.9350686594154,1814.7414414745683,17519.540810375896,280.6881250429419,7549.859804782207,13969.131469155618,0.0,35564.207097299244,13547.822995208173,41314.41958563044,12563.19409032747,42336.74569577537,34003.41491457933,82173.56365136174,161602.50420223188,670.7413139604648,26998.352289746257,17006.074511919847,2939.3364880216923,8138.4340492775245,747.360825934716,23.66908613982773,0.0,55.38957416438199,974.3415228422244,53.033029051602206,2060.0616800922776,24.34535260447663,386.4971036301038,1235.7998061366795,3098.5757601495357,2405.6026199446596,1987.4127896657683,568.6845350533033,1097.853003820093,278.8121786460923,297.0604549466666,474.65277173858016,784.4498794567891,29.12585320132308,201.22313367383265,1103.581886643903,393.3561214871598,17017.2335096002,5211.501827269209,8695.86797558866,5618.318505484244,3876.824951802613,893.4662899601691,872.2877435342346,2410.6989973372706,2849.609531500205,5543.861278087618,610.3338304715601,7575.92487946009,1578.553854595041,44.814956253692635,0.0,1260903.5803278675,DEF06
6,107742.09778609156,206.52198609856896,8757.81579457245,0.0,0.0,0.0,113.292463094,0.0,6315.2333812179995,265.23753511900003,0.0,24.757470284,35.475574526,0.0,905.4869867,0.0,5434.962375615,0.0,492.202500452,0.0,282.786096111,582.130578693,285.589130432,5070.294839665,983.561946112912,193.16417381256483,773.0447878595205,1148.9110097406171,754.354840936,625.2342446924841,694.0467702705481,3185.22445378726,59737.73783296476,121.23563684537577,2369.2699257738163,7199.634923013224,0.0,54163.69646499651,29015.180572111574,63323.04529363652,13080.077474200452,44967.91521110913,56966.54933714488,60202.85303493433,1559100.0024766342,3539.518008858877,15834.5651433952,20516.888047803153,26166.31404466668,28787.27215639947,215.01234814898336,49.009123461067254,0.0,76.81871539777839,240.91654204087857,114.65299599873136,2027.9872330781377,127.0629614454393,507.1520473151974,3532.4936710309807,4881.73121573745,3231.5457358946014,2062.979641661944,332.17378455088533,327.117260152332,188.2018586628522,321.71658897478636,135.93188096269148,363.35988852732766,124.7749937622606,69.2123101770368,1301.8269887396484,273.35948646263955,36235.89779255255,6125.344591158751,10420.72421752548,4523.599958322335,4756.7566930013,851.2700941288861,1101.882601335859,2085.1755577080544,2796.551086912704,12886.253618439345,827.0762262812282,8336.74419153617,1538.0655422656514,1.113129994117784,0.0,2302954.6748837177,DEF07
7,82939.27087031255,1466.9227073594905,2309.5697952558976,0.0,0.0,0.0,893.166099408,0.0,22069.266783747997,0.0,0.0,969.310410652,0.0,267.8897494495153,1755.915468764,743.0792136489999,1709.071532948,0.0,133485.15438686524,0.0,4504.696140763,1542.12956224,1081.965720584,3605.542821232,1014.3815973004891,84.60328626231696,1310.1796867336766,2299.809016347862,260.94729182,538.9639422669478,4074.59038415298,3291.193434240772,16047.990197896348,244.64404829745504,1027.3765071975974,13476.96140357356,0.0,25850.9368940489,15606.338707804252,48722.67182734295,13728.253621683492,31016.819015778572,49466.65854030183,69291.43155908778,2599586.8273574123,593.5076180365586,26989.18423276447,17673.52332362705,26775.612845784686,21528.637514595397,334.82928398907023,39.40696144978491,102.52620132846016,68.71339058725715,820.2229889272257,121.64778593853008,2156.489549969872,40.41878249653469,518.7142596761909,2595.335428972459,3584.844295620176,1688.8621927398794,2783.4557420498586,187.50300757553535,562.3901296519628,128.56755567627633,322.3379779245064,193.43606323869017,1097.4046743235838,106.27065008515176,77.64743337623948,1721.0821582654607,326.48197114054716,20067.203746379542,4863.751903892765,15366.577772924722,6966.2067005387735,5318.484771979785,740.4503939157744,1511.5946001154489,2120.746190520138,8111.02191605586,7422.845034717317,446.231366286272,10515.207256654969,1848.544595198068,0.9996403915777908,0.0,3354723.449492163,DEF08
8,193398.3913759505,1490.353340648086,676.0234546944729,0.0,0.0,0.0,811.909595835,0.0,26738.299449541,1897.783725169,2187.295469845,156.581810739,165.838032795,748.874456168592,1520.071599176,9792.51944112,3580.77556948,2280707.901728392,6137.031546889,5890.960312674,14691.3588866,2515.9444012040003,291.111688174,21943.098512024997,6685.9493972159435,1298.5428185915985,4894.007138260037,6349.364943042996,6402.929646646,1071.2145230525484,3362.2857226611127,2130.8996619447826,75166.76767848381,308.2836977511901,3645.0621604606417,15635.827253787287,0.0,48105.37284122774,31497.745840679945,76330.97806518213,24050.287534399627,120875.60253260274,72391.34830531609,142037.978449667,370627.85586731904,21885.5492040086,55338.53990365583,58685.84793189847,3399.532183121105,16597.151208485157,243.61273929286645,456.2031215803074,363.95244559412,847.2914303482731,1830.1734180922,227.36650676497536,3020.129038766909,224.883956793914,688.3324348314295,2765.5455041812133,5718.305734636332,4900.386298610593,5651.437077646623,876.2948366847371,1164.1155036424875,471.7257977364112,735.8277405803314,247.4262378679638,2386.4268338542483,135.0904703793557,186.26347794925616,3022.4302545626615,652.3948160267843,36364.70152287272,10049.92087018843,6921.707765623694,6576.015852802336,6295.434171217606,1693.530455013166,1378.6692253452063,5076.544751716392,5755.361658917154,13248.80239020304,937.5866409458816,15859.796845071767,1746.0558681653204,2.2234709246477005,0.0,3892839.016072013,DEF09
