,0
hot_water,1360235.772279282
mechanical_energy,157339315.43779498
process_heat,134558.98363098653
process_heat_100_to_200C,22427986.377305407
process_heat_200_to_500C,6317569.148276851
process_heat_below_100C,24917957.23747173
space_heating,98548798.32612531
