,0
hot_water,435827.77478594927
mechanical_energy,45874377.49573521
process_heat,40836.647507343005
process_heat_100_to_200C,6299352.385638183
process_heat_200_to_500C,1784896.074869902
process_heat_below_100C,6643775.208834506
space_heating,32472374.378495812
