,0
hot_water,1618114.4023983811
mechanical_energy,191899711.73078823
process_heat,162302.5346026522
process_heat_100_to_200C,27299205.84978409
process_heat_200_to_500C,7663493.311100646
process_heat_below_100C,30734807.293208994
space_heating,117226726.69788978
