,0
hot_water,788750.2934533276
mechanical_energy,86002690.41184151
process_heat,75461.42143292341
process_heat_100_to_200C,11909167.380331159
process_heat_200_to_500C,3355260.9553816705
process_heat_below_100C,12935311.94329904
space_heating,57965214.26046323
