,0
hot_water,1071934.2668810645
mechanical_energy,121030883.36119607
process_heat,104954.13415415137
process_heat_100_to_200C,17261470.26984805
process_heat_200_to_500C,4867797.848051254
process_heat_below_100C,18954990.59777023
space_heating,77736880.7678912
