,10041,10042,10043,10044,10045,10046
2018-01-01 00:00:00,89.60788624983493,16.59004598903527,19.031683795179713,31.616131530169483,25.53538010271059,12.20200721442216
2018-01-01 01:00:00,106.70768881522785,16.11884388140642,18.63038169163481,37.54293528077106,24.84853910797018,11.874917990509397
2018-01-01 02:00:00,79.06935251029627,15.346028338449763,17.803004122556374,28.88800870353096,23.71862785175317,11.308665045152063
2018-01-01 03:00:00,89.82560521309053,17.934145755362238,20.555308472990344,32.043930081596685,27.682825283148393,13.121811457359048
2018-01-01 04:00:00,109.62624487515637,22.656255269788765,26.3690487218485,38.73039051743658,35.245547748609155,16.92798998309953
2018-01-01 05:00:00,128.68570212810934,22.361505797180207,26.81838012432637,45.74385293461077,35.05448161903317,16.79175355622108
2018-01-01 06:00:00,110.18251949875177,20.09908561081083,23.592889464776064,39.45649624346828,31.469833328568217,14.871654422045278
2018-01-01 07:00:00,98.97156708408193,20.105863917199926,23.4376063869857,36.5065158842354,31.448002419928123,14.726055289193132
2018-01-01 08:00:00,92.13805960849812,20.681378018862464,24.078575442895715,33.84181372665508,32.32865401221125,15.163793170927214
2018-01-01 09:00:00,89.27355157213351,19.48202988320873,23.05726453619654,32.68419541721343,30.779400048430205,14.489422531960058
2018-01-01 10:00:00,85.060059235649,18.670123675516418,22.060174617002918,30.740167399633986,29.474850360138866,13.905042628061514
2018-01-01 11:00:00,87.21527366785558,18.885806599383745,22.378933414950584,31.315029226161425,29.842780445172462,14.111196755446754
2018-01-01 12:00:00,76.92959296252556,17.296589033261544,20.547674729146447,28.08897159150024,27.344212848621773,12.881913129139926
2018-01-01 13:00:00,73.78909774992131,17.189826562583583,20.530099046306358,26.52275431132135,27.406215356583736,12.938791161742486
2018-01-01 14:00:00,83.28089449531029,17.95323810087771,21.488210166360716,29.40547738431354,28.59151639902987,13.59794160958286
2018-01-01 15:00:00,72.32977960258147,17.784364633325957,21.523106186143277,26.07693754841918,28.48308343809236,13.527333520203564
2018-01-01 16:00:00,85.59926719706952,16.797252445517437,20.305605274238754,30.203481088263622,26.8518743711383,12.683453805996601
2018-01-01 17:00:00,89.14548866451848,19.036957570157053,22.71218157395453,31.30937905850944,30.293266720401174,14.38659942634256
2018-01-01 18:00:00,84.70001221566328,18.809720303652533,22.424255807390427,30.28026691563082,29.87966567485325,14.184546160663665
2018-01-01 19:00:00,80.15778746869242,17.696157438591474,21.079245624545337,29.182764597756545,28.06207250840679,13.22594898878341
2018-01-01 20:00:00,83.36139123900395,17.882401048974828,21.46600378971606,30.411383117009194,28.537185592616535,13.504912201570054
2018-01-01 21:00:00,78.97422753859301,17.911524946414588,20.85622862415933,29.412630365515646,27.85982846069332,13.195770870394046
2018-01-01 22:00:00,99.25984960059061,16.565316488275883,19.463225008433685,35.165635868782815,25.888771067104845,12.335102343538338
2018-01-01 23:00:00,83.18440470666893,18.19196816313984,20.70567871202007,29.79224196931206,27.81835729883403,13.377902505292386
2018-01-02 00:00:00,99.79425994722054,19.46149178313791,23.178951531944502,34.545368351105196,31.423134028838,14.745361895139583
2018-01-02 01:00:00,102.60731673541115,19.98218556549042,23.764485123593467,35.48466265260901,32.174184661669074,15.12901785608497
2018-01-02 02:00:00,105.56825341961475,20.5885229856138,24.405010802846643,36.54569662719471,33.03960868049754,15.559274077005044
2018-01-02 03:00:00,107.5516097281406,20.82096803654656,25.137221045083265,37.104399980725624,33.943859132974595,15.876687362081269
2018-01-02 04:00:00,114.79671226373061,22.03414689496949,27.118523316434118,39.48050115573436,36.40139275231325,16.96149437349743
2018-01-02 05:00:00,120.52532206137042,23.432594289383164,29.080877892959514,42.05870752955444,38.62668691855347,18.024906041048073
2018-01-02 06:00:00,138.25510593981008,27.563630525331785,33.76503519291189,49.01742435280823,44.78319838657909,20.908322165082666
2018-01-02 07:00:00,149.26703600578662,30.45217688847365,36.63122256403795,53.63707931522701,48.840315235660306,22.722641269247156
2018-01-02 08:00:00,152.07280516561343,31.041650862701367,37.138158613615175,54.72445291518165,49.413828947856956,23.103075234402763
2018-01-02 09:00:00,145.86458666218883,29.542865956601005,35.50402147182423,52.3142446902196,47.12137103393828,22.068697510878536
2018-01-02 10:00:00,137.9174405404281,27.85788403655963,33.542847262898896,49.43560772713886,44.465562678102806,20.83975522059314
2018-01-02 11:00:00,127.36291096710848,25.802960064521564,31.27931883028534,45.79699980856775,41.44437354830382,19.3317374820224
2018-01-02 12:00:00,120.49994459753941,24.290318088708876,29.557080865472575,43.202367811131076,39.14270692297842,18.251154680179667
2018-01-02 13:00:00,118.04859964632954,23.528022643366338,28.866350520167767,42.05452885497203,38.09645180993216,17.813437002114338
2018-01-02 14:00:00,115.61076006443496,23.216325497339525,28.44097612736518,41.393687891763676,37.5892539004225,17.543047564871138
2018-01-02 15:00:00,116.74045357869811,23.439184686234228,28.573712835729204,41.723847058449785,37.897058625296154,17.67380215835807
2018-01-02 16:00:00,119.79034616914596,24.003809494516673,29.02309382528451,42.70583362100151,38.634955858919156,18.05535813528515
2018-01-02 17:00:00,109.75281562561939,22.277094434064736,27.159626333737126,39.47647346349229,36.18230952424558,16.72772496885228
2018-01-02 18:00:00,100.34936980950651,20.73621267607298,25.388676251512706,36.562043279301925,33.82725166189968,15.526127542931178
2018-01-02 19:00:00,98.23654437714455,19.94981608578472,24.664122854458906,35.36702193028462,32.95294183181743,15.113239851157335
2018-01-02 20:00:00,106.15554404444882,20.780689305143486,25.66024730874708,37.20246386133876,34.499909159710505,15.947965012187026
